category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:1901575,0,1,7,7,organic substance catabolic process,BP,0
GO:1901576,0,1,14,14,organic substance biosynthetic process,BP,0
GO:1901700,0,1,11,11,response to oxygen-containing compound,BP,0
GO:1901701,0,1,8,8,cellular response to oxygen-containing compound,BP,0
GO:1901987,0,1,6,6,regulation of cell cycle phase transition,BP,0
GO:1901990,0,1,6,6,regulation of mitotic cell cycle phase transition,BP,0
GO:1902679,0,1,6,6,negative regulation of RNA biosynthetic process,BP,0
GO:1902680,0,1,10,10,positive regulation of RNA biosynthetic process,BP,0
GO:1903047,0,1,7,7,mitotic cell cycle process,BP,0
GO:1903506,0,1,14,14,regulation of nucleic acid-templated transcription,BP,0
GO:1903507,0,1,6,6,negative regulation of nucleic acid-templated transcription,BP,0
GO:1903508,0,1,10,10,positive regulation of nucleic acid-templated transcription,BP,0
GO:2000026,0,1,12,12,regulation of multicellular organismal development,BP,0
GO:2000112,0,1,16,16,regulation of cellular macromolecule biosynthetic process,BP,0
GO:2000113,0,1,7,7,negative regulation of cellular macromolecule biosynthetic process,BP,0
GO:2001141,0,1,14,14,regulation of RNA biosynthetic process,BP,0
GO:0006811,1.978775268229926e-12,1,5,5,ion transport,BP,1.6803580271311736e-11
GO:0033993,2.4271105987753168e-12,1,5,5,response to lipid,BP,2.054431681027881e-11
GO:0044281,2.6987812892008092e-12,1,5,5,small molecule metabolic process,BP,2.2770424768047983e-11
GO:0045664,2.8306172596374457e-12,1,5,5,regulation of neuron differentiation,BP,2.3806216952848263e-11
GO:0009607,2.9335461375399732e-12,1,5,5,response to biotic stimulus,BP,2.4436904967952033e-11
GO:0043207,2.9335461375399732e-12,1,5,5,response to external biotic stimulus,BP,2.4436904967952033e-11
GO:0051707,2.9335461375399732e-12,1,5,5,response to other organism,BP,2.4436904967952033e-11
GO:0009057,3.239353813801527e-12,1,5,5,macromolecule catabolic process,BP,2.666834903908861e-11
GO:0044265,3.239353813801527e-12,1,5,5,cellular macromolecule catabolic process,BP,2.666834903908861e-11
