go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0010608,22,GO:0031323,0.583,2.9143351727861946,17,post-transcriptional regulation of gene expression,regulation of cellular metabolic process
GO:0009895,19,GO:0009056,0.588,2.9143351727861946,0,negative regulation of catabolic process,catabolic process
GO:0007097,8,GO:0051179,0.369,2.9143351727861946,23,nuclear migration,localization
GO:0007010,5,GO:0044085,0.539,2.9143351727861946,17,cytoskeleton organization,cellular component biogenesis
GO:0006397,11,GO:1901360,0.521,2.9143351727861946,131,mRNA processing,organic cyclic compound metabolic process
GO:0006396,11,GO:1901360,0.612,2.9143351727861946,49,RNA processing,organic cyclic compound metabolic process
GO:0002920,12,GO:0002376,0.671,2.9143351727861946,0,regulation of humoral immune response,immune system process
GO:0001654,9,GO:0048731,0.464,2.9143351727861946,0,eye development,system development
GO:0036211,3,GO:0044238,0.425,2.9143351727861946,19,protein modification process,primary metabolic process
GO:0006914,21,GO:0016236,0.917,2.9143351727861946,61,autophagy,macroautophagy
GO:0006497,26,GO:0042158,0.998,2.9143351727861946,3,protein lipidation,lipoprotein biosynthetic process
GO:0000422,5,GO:0044085,0.373,2.9143351727861946,24,autophagy of mitochondrion,cellular component biogenesis
GO:0098660,8,GO:0051179,0.527,2.9143351727861946,0,inorganic ion transmembrane transport,localization
GO:0051961,9,GO:0048731,0.608,2.9143351727861946,0,negative regulation of nervous system development,system development
GO:0032483,13,GO:0051056,0.797,2.9143351727861946,2,regulation of Rab protein signal transduction,regulation of small GTPase mediated signal transduction
GO:0010977,5,GO:0044085,0.372,2.9143351727861946,1,negative regulation of neuron projection development,cellular component biogenesis
GO:0010975,5,GO:0044085,0.444,2.9143351727861946,2,regulation of neuron projection development,cellular component biogenesis
GO:0009612,2,GO:0050896,0.372,2.9143351727861946,20,response to mechanical stimulus,response to stimulus
GO:0009605,2,GO:0050896,0.563,2.9143351727861946,5,response to external stimulus,response to stimulus
GO:0006811,8,GO:0051179,0.664,2.9143351727861946,434,ion transport,localization
GO:1901362,3,GO:0044238,0.318,2.9143351727861946,0,organic cyclic compound biosynthetic process,primary metabolic process
GO:0097659,3,GO:0044238,0.398,2.9143351727861946,0,nucleic acid-templated transcription,primary metabolic process
GO:0051240,15,GO:0051239,0.879,2.9143351727861946,0,positive regulation of multicellular organismal process,regulation of multicellular organismal process
GO:0045087,12,GO:0002376,0.977,2.9143351727861946,321,innate immune response,immune system process
GO:0044271,3,GO:0044238,0.341,2.9143351727861946,0,cellular nitrogen compound biosynthetic process,primary metabolic process
GO:0034654,3,GO:0044238,0.417,2.9143351727861946,1,nucleobase-containing compound biosynthetic process,primary metabolic process
GO:0032774,3,GO:0044238,0.398,2.9143351727861946,0,RNA biosynthetic process,primary metabolic process
GO:0032728,15,GO:0051239,0.515,2.9143351727861946,1,positive regulation of interferon-beta production,regulation of multicellular organismal process
GO:0032648,15,GO:0051239,0.515,2.9143351727861946,0,regulation of interferon-beta production,regulation of multicellular organismal process
GO:0032481,15,GO:0051239,0.515,2.9143351727861946,0,positive regulation of type I interferon production,regulation of multicellular organismal process
GO:0032479,15,GO:0051239,0.541,2.9143351727861946,0,regulation of type I interferon production,regulation of multicellular organismal process
GO:0019438,3,GO:0044238,0.316,2.9143351727861946,0,aromatic compound biosynthetic process,primary metabolic process
GO:0018130,3,GO:0044238,0.316,2.9143351727861946,0,heterocycle biosynthetic process,primary metabolic process
GO:0006955,12,GO:0002376,0.982,2.9143351727861946,3,immune response,immune system process
GO:0006952,2,GO:0050896,0.491,2.9143351727861946,6,defense response,response to stimulus
GO:0006950,2,GO:0050896,0.626,2.9143351727861946,11,response to stress,response to stimulus
GO:0006351,3,GO:0044238,0.398,2.9143351727861946,38,DNA-templated transcription,primary metabolic process
GO:0001819,15,GO:0051239,0.515,2.9143351727861946,0,positive regulation of cytokine production,regulation of multicellular organismal process
GO:0001817,15,GO:0051239,0.541,2.9143351727861946,0,regulation of cytokine production,regulation of multicellular organismal process
GO:1901700,28,GO:1901700,0.995,2.9143351727861946,0,response to oxygen-containing compound,response to oxygen-containing compound
GO:0071824,5,GO:0044085,0.407,2.9143351727861946,0,protein-DNA complex subunit organization,cellular component biogenesis
GO:0071103,5,GO:0044085,0.396,2.9143351727861946,0,DNA conformation change,cellular component biogenesis
GO:0065004,5,GO:0044085,0.661,2.9143351727861946,0,protein-DNA complex assembly,cellular component biogenesis
GO:0065003,5,GO:0044085,0.828,2.9143351727861946,10,protein-containing complex assembly,cellular component biogenesis
GO:0061458,9,GO:0048731,0.754,2.9143351727861946,0,reproductive system development,system development
GO:0051276,5,GO:0044085,0.497,2.9143351727861946,11,chromosome organization,cellular component biogenesis
GO:0048608,9,GO:0048731,0.754,2.9143351727861946,0,reproductive structure development,system development
GO:0046661,16,GO:0003006,0.818,2.9143351727861946,0,male sex differentiation,developmental process involved in reproduction
GO:0046546,16,GO:0003006,0.605,2.9143351727861946,0,development of primary male sexual characteristics,developmental process involved in reproduction
GO:0045137,16,GO:0003006,0.82,2.9143351727861946,0,development of primary sexual characteristics,developmental process involved in reproduction
GO:0044843,18,GO:0007049,0.606,2.9143351727861946,3,cell cycle G1/S phase transition,cell cycle
GO:0044772,18,GO:0007049,0.683,2.9143351727861946,11,mitotic cell cycle phase transition,cell cycle
GO:0044770,18,GO:0007049,0.724,2.9143351727861946,1,cell cycle phase transition,cell cycle
GO:0043933,5,GO:0044085,0.513,2.9143351727861946,0,protein-containing complex organization,cellular component biogenesis
GO:0043486,5,GO:0044085,0.324,2.9143351727861946,7,histone exchange,cellular component biogenesis
GO:0042221,28,GO:1901700,0.682,2.9143351727861946,1,response to chemical,response to oxygen-containing compound
GO:0034728,5,GO:0044085,0.373,2.9143351727861946,2,nucleosome organization,cellular component biogenesis
GO:0033993,28,GO:1901700,0.395,2.9143351727861946,3,response to lipid,response to oxygen-containing compound
GO:0014070,28,GO:1901700,0.483,2.9143351727861946,1,response to organic cyclic compound,response to oxygen-containing compound
GO:0010033,28,GO:1901700,0.6,2.9143351727861946,3,response to organic substance,response to oxygen-containing compound
GO:0009725,2,GO:0050896,0.338,2.9143351727861946,1,response to hormone,response to stimulus
GO:0009719,2,GO:0050896,0.411,2.9143351727861946,0,response to endogenous stimulus,response to stimulus
GO:0008584,16,GO:0003006,0.605,2.9143351727861946,6,male gonad development,developmental process involved in reproduction
GO:0008406,16,GO:0003006,0.82,2.9143351727861946,59,gonad development,developmental process involved in reproduction
GO:0008283,29,GO:0008283,0.998,2.9143351727861946,1,cell population proliferation,cell population proliferation
GO:0007548,16,GO:0003006,0.897,2.9143351727861946,41,sex differentiation,developmental process involved in reproduction
GO:0006338,5,GO:0044085,0.428,2.9143351727861946,59,chromatin remodeling,cellular component biogenesis
GO:0006335,5,GO:0044085,0.315,2.9143351727861946,5,DNA replication-dependent chromatin assembly,cellular component biogenesis
GO:0006334,5,GO:0044085,0.594,2.9143351727861946,23,nucleosome assembly,cellular component biogenesis
GO:0006325,5,GO:0044085,0.458,2.9143351727861946,68,chromatin organization,cellular component biogenesis
GO:0006260,4,GO:0044260,0.616,2.9143351727861946,78,DNA replication,cellular macromolecule metabolic process
GO:0006259,4,GO:0044260,0.751,2.9143351727861946,12,DNA metabolic process,cellular macromolecule metabolic process
GO:0000082,18,GO:0007049,0.583,2.9143351727861946,8,G1/S transition of mitotic cell cycle,cell cycle
GO:0019233,14,GO:0003008,0.515,2.9143351727861946,0,sensory perception of pain,system process
GO:0007600,14,GO:0003008,0.907,2.9143351727861946,1,sensory perception,system process
GO:2000145,30,GO:2000145,0.996,2.9143351727861946,0,regulation of cell motility,regulation of cell motility
GO:0120036,5,GO:0044085,0.532,2.9143351727861946,1,plasma membrane bounded cell projection organization,cellular component biogenesis
GO:0120031,5,GO:0044085,0.73,2.9143351727861946,0,plasma membrane bounded cell projection assembly,cellular component biogenesis
GO:0097581,5,GO:0044085,0.315,2.9143351727861946,0,lamellipodium organization,cellular component biogenesis
GO:0048870,30,GO:2000145,0.899,2.9143351727861946,2,cell motility,regulation of cell motility
GO:0046847,5,GO:0044085,0.52,2.9143351727861946,1,filopodium assembly,cellular component biogenesis
GO:0043068,31,GO:0043068,0.998,2.9143351727861946,14,positive regulation of programmed cell death,positive regulation of programmed cell death
GO:0043067,31,GO:0043068,0.924,2.9143351727861946,3,regulation of programmed cell death,positive regulation of programmed cell death
GO:0043065,31,GO:0043068,0.978,2.9143351727861946,23,positive regulation of apoptotic process,positive regulation of programmed cell death
GO:0042981,31,GO:0043068,0.913,2.9143351727861946,15,regulation of apoptotic process,positive regulation of programmed cell death
