go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0010605,1,GO:0031324,0.877,9.0742155604615,0,negative regulation of macromolecule metabolic process,negative regulation of cellular metabolic process
GO:0051172,1,GO:0031324,0.824,9.0742155604615,0,negative regulation of nitrogen compound metabolic process,negative regulation of cellular metabolic process
GO:0002376,27,GO:0002376,0.99,9.0742155604615,24,immune system process,immune system process
GO:0032879,28,GO:0032879,0.985,9.0742155604615,0,regulation of localization,regulation of localization
GO:0042981,17,GO:0010941,0.961,9.072054067445862,15,regulation of apoptotic process,regulation of cell death
GO:0007346,22,GO:0022402,0.675,9.072054067445862,8,regulation of mitotic cell cycle,cell cycle process
GO:0043067,17,GO:0010941,0.974,9.072054067445862,3,regulation of programmed cell death,regulation of cell death
GO:0051726,22,GO:0022402,0.77,9.072054067445862,34,regulation of cell cycle,cell cycle process
GO:0051239,29,GO:0051239,0.977,9.05209230066722,4,regulation of multicellular organismal process,regulation of multicellular organismal process
GO:0016192,30,GO:0016192,0.974,9.051159430191282,139,vesicle-mediated transport,vesicle-mediated transport
GO:0050793,8,GO:0048869,0.522,9.04709396844634,4,regulation of developmental process,cellular developmental process
GO:0065009,31,GO:0065009,0.983,9.017079876658114,0,regulation of molecular function,regulation of molecular function
GO:0051128,12,GO:0006996,0.602,9.017079876658114,2,regulation of cellular component organization,organelle organization
GO:0050790,31,GO:0065009,0.97,9.017079876658114,142,regulation of catalytic activity,regulation of molecular function
GO:0023057,13,GO:0023051,0.879,9.017079876658114,0,negative regulation of signaling,regulation of signaling
GO:0010648,9,GO:0010646,0.879,9.017079876658114,0,negative regulation of cell communication,regulation of cell communication
GO:0009968,13,GO:0023051,0.874,9.017079876658114,13,negative regulation of signal transduction,regulation of signaling
GO:0009605,6,GO:0033554,0.417,9.017079876658114,5,response to external stimulus,cellular response to stress
GO:0009057,21,GO:0009056,0.865,9.017079876658114,0,macromolecule catabolic process,catabolic process
GO:0044265,21,GO:0009056,0.833,9.017079876658114,0,cellular macromolecule catabolic process,catabolic process
GO:0048585,19,GO:0048583,0.861,9.017079876658114,0,negative regulation of response to stimulus,regulation of response to stimulus
GO:1901565,21,GO:0009056,0.861,9.01212198417972,3,organonitrogen compound catabolic process,catabolic process
GO:0006508,11,GO:1901564,0.594,9.009198207008497,415,proteolysis,organonitrogen compound metabolic process
GO:0043412,11,GO:1901564,0.33,9.009198207008497,3,macromolecule modification,organonitrogen compound metabolic process
GO:0036211,11,GO:1901564,0.684,9.009198207008497,19,protein modification process,organonitrogen compound metabolic process
GO:0010608,2,GO:0031323,0.583,6.816785828913118,17,post-transcriptional regulation of gene expression,regulation of cellular metabolic process
GO:0034248,32,GO:0034248,0.995,6.816785828913118,0,regulation of cellular amide metabolic process,regulation of cellular amide metabolic process
GO:0006417,32,GO:0034248,0.994,6.816785828913118,52,regulation of translation,regulation of cellular amide metabolic process
