GO,GO:0000003,GO:0000280,GO:0003006,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006807,GO:0006996,GO:0007049,GO:0007140,GO:0007276,GO:0007281,GO:0007283,GO:0008152,GO:0008283,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0016043,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0030154,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0032504,GO:0034248,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044703,GO:0048137,GO:0048232,GO:0048285,GO:0048468,GO:0048515,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051301,GO:0051321,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0140013,GO:1901564,GO:1901566,GO:1901576,GO:1903046,GO:2000112
GO:0060255,0,0,0,0.319,0.249,0.584,0.236,0.329,0,0,0,0,0,0,0.358,0,0.268,0.414,0.818,0,0.447,0.885,0.837,0.618,0,0.903,0.449,0,0,0,0,0,0.852,0.817,0,0,0,0.57,0.288,0.343,0.229,0.533,0.205,0.196,0.333,0.338,0.265,0.403,0.251,0,0,0,0,0,0,0,0,0,0.527,0.495,0.858,0.693,0,0,0.917,0.482,0.41,0,0.861,0,0.339,0.264,0.315,0,0.586
GO:0065007,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0,0,0.46,0.427,0.294,0,0.488,0,0,0,0,0,0,0.452,0.428,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0.63,0.457,0.337,0,0,0.482,0.716,0,0,0.458,0,0,0,0,0,0.275
GO:0071704,0,0,0,0.291,0.214,0.229,0.304,0.52,0,0,0,0,0,0,0.595,0,0.381,0.409,0.307,0,0.457,0.39,0.362,0.246,0,0.352,0.459,0,0,0,0,0,0.325,0.307,0,0,0,0.194,0.424,0.319,0.291,0.593,0.266,0.251,0.529,0.543,0.377,0.395,0.349,0,0,0,0,0,0,0,0,0,0,0,0.328,0.283,0,0,0.41,0,0.668,0,0.329,0,0.499,0.351,0.448,0,0.23
GO:0071840,0,0.58,0,0.045,0.035,0.037,0.047,0,0.778,0.051,0.37,0,0.038,0,0,0.034,0,0,0,0.107,0,0,0,0,0.871,0,0,0,0.047,0.04,0,0.053,0.056,0.054,0,0,0,0.037,0.069,0.049,0.045,0,0.048,0.046,0.081,0,0.063,0.058,0.06,0,0.022,0,0.585,0.047,0.028,0,0,0.053,0,0.073,0,0,0.04,0.041,0,0,0,0.887,0,0.524,0,0,0,0.039,0.037
GO:0080090,0,0,0,0.25,0.196,0.624,0.194,0.314,0,0,0,0,0,0,0.339,0,0.257,0.241,0.79,0,0.259,0.832,0.788,0.588,0,0.869,0.347,0,0,0,0,0,0.822,0.79,0,0,0,0.557,0.276,0.201,0.188,0.307,0.199,0.19,0.317,0.428,0.255,0.235,0.242,0,0,0,0,0,0,0,0,0,0.502,0.473,0.828,0.737,0,0,0.861,0.458,0.329,0,0.931,0,0.275,0.216,0.256,0,0.558
GO:0140013,0.713,0.916,0.669,0.03,0.025,0.026,0.031,0,0.656,0.746,0.768,0.63,0.595,0.541,0,0.025,0,0,0,0.049,0,0,0,0,0.542,0,0,0.619,0.806,0.61,0.727,0.034,0.035,0.034,0,0,0.646,0.026,0.039,0.032,0.03,0,0.032,0.031,0.043,0,0.037,0.035,0.036,0.464,0.387,0.546,0.909,0.031,0.473,0.634,0,0.034,0,0.041,0,0,0.028,0.921,0,0,0,0.524,0,0.994,0,0,0,0.963,0.026
GO:1901564,0,0,0,0.536,0.409,0.435,0.558,0.596,0,0,0,0,0,0,0.438,0,0.31,0.339,0.259,0,0.371,0.326,0.306,0.218,0,0.29,0.788,0,0,0,0,0,0.272,0.259,0,0,0,0.261,0.508,0.274,0.538,0.456,0.344,0.328,0.401,0.41,0.307,0.329,0.434,0,0,0,0,0,0,0,0,0,0,0,0.412,0.524,0,0,0.339,0,0.499,0,0.275,0,0.842,0.631,0.365,0,0.206
GO:1901566,0,0,0,0.836,0.665,0.701,0.457,0.427,0,0,0,0,0,0,0.305,0,0.73,0.692,0.635,0,0.283,0.256,0.638,0.184,0,0.225,0.6,0,0,0,0,0,0.214,0.634,0,0,0,0.223,0.38,0.585,0.838,0.329,0.28,0.552,0.287,0.291,0.725,0.258,0.691,0,0,0,0,0,0,0,0,0,0,0,0.324,0.434,0,0,0.264,0,0.351,0,0.216,0,0.631,0.954,0.734,0,0.461
GO:1901576,0,0,0,0.629,0.486,0.515,0.249,0.359,0,0,0,0,0,0,0.393,0,0.882,0.827,0.747,0,0.342,0.304,0.751,0.208,0,0.27,0.344,0,0,0,0,0,0.253,0.747,0,0,0,0.166,0.31,0.679,0.631,0.414,0.216,0.635,0.363,0.369,0.875,0.306,0.826,0,0,0,0,0,0,0,0,0,0,0,0.255,0.235,0,0,0.315,0,0.448,0,0.256,0,0.365,0.734,0.887,0,0.517
GO:1903046,0.739,0.03,0.691,0.031,0.026,0.027,0.032,0,0.036,0.773,0.739,0.65,0.613,0.556,0,0.025,0,0,0,0.052,0,0,0,0,0.039,0,0,0.639,0.833,0.629,0.754,0.035,0.036,0.035,0,0,0.668,0.027,0.041,0.033,0.031,0,0.033,0.032,0.045,0,0.039,0.037,0.038,0.475,0.394,0.561,0.03,0.032,0.485,0.654,0,0.035,0,0.043,0,0,0.029,0.95,0,0,0,0.039,0,0.963,0,0,0,0.993,0.027
GO:2000112,0,0.028,0,0.736,0.616,0.993,0.198,0.189,0.034,0.032,0.02,0,0.027,0,0.198,0.024,0.514,0.587,0.678,0.049,0.278,0.573,0.681,0.448,0.037,0.575,0.278,0,0.031,0.027,0,0.033,0.636,0.679,0,0,0,0.482,0.251,0.774,0.424,0.309,0.201,0.428,0.273,0.192,0.522,0.615,0.505,0,0.017,0,0.029,0.031,0.021,0,0,0.033,0.304,0.371,0.557,0.486,0.028,0.028,0.586,0.275,0.23,0.037,0.558,0.026,0.206,0.461,0.517,0.027,0.995
