go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0030148,24,GO:0030148,0.998,3.2723871385304855,15,sphingolipid biosynthetic process,sphingolipid biosynthetic process
GO:0032879,22,GO:0051050,0.871,3.2723871385304855,0,regulation of localization,positive regulation of transport
GO:1903566,22,GO:0051050,0.562,3.2723871385304855,1,positive regulation of protein localization to cilium,positive regulation of transport
GO:0031333,12,GO:0016043,0.442,3.2723871385304855,3,negative regulation of protein-containing complex assembly,cellular component organization
GO:0010821,12,GO:0016043,0.384,3.2723871385304855,3,regulation of mitochondrion organization,cellular component organization
GO:0009628,20,GO:0009268,0.702,3.2723871385304855,0,response to abiotic stimulus,response to pH
GO:1904951,22,GO:0051050,0.662,3.2723871385304855,3,positive regulation of establishment of protein localization,positive regulation of transport
GO:0051223,22,GO:0051050,0.747,3.2723871385304855,1,regulation of protein transport,positive regulation of transport
GO:0007033,12,GO:0016043,0.485,3.2723871385304855,4,vacuole organization,cellular component organization
GO:1903567,22,GO:0051050,0.547,3.2723871385304855,0,regulation of protein localization to ciliary membrane,positive regulation of transport
GO:0006678,24,GO:0030148,0.782,3.2723871385304855,0,glucosylceramide metabolic process,sphingolipid biosynthetic process
GO:0006670,24,GO:0030148,0.737,3.2723871385304855,0,sphingosine metabolic process,sphingolipid biosynthetic process
GO:0033157,22,GO:0051050,0.706,3.2723871385304855,0,regulation of intracellular protein transport,positive regulation of transport
GO:0006665,24,GO:0030148,0.937,3.2723871385304855,36,sphingolipid metabolic process,sphingolipid biosynthetic process
GO:0006469,5,GO:0065009,0.691,3.2723871385304855,7,negative regulation of protein kinase activity,regulation of molecular function
GO:0031668,10,GO:0006950,0.292,3.2723871385304855,1,cellular response to extracellular stimulus,response to stress
GO:0008340,13,GO:0007626,0.285,3.2723871385304855,298,determination of adult lifespan,locomotory behavior
GO:0051222,22,GO:0051050,0.837,3.2723871385304855,1,positive regulation of protein transport,positive regulation of transport
GO:0032386,22,GO:0051050,0.788,3.2723871385304855,0,regulation of intracellular transport,positive regulation of transport
GO:0010259,4,GO:0048856,0.328,3.2723871385304855,2,multicellular organism aging,anatomical structure development
GO:0006914,23,GO:0010508,0.816,3.2723871385304855,61,autophagy,positive regulation of autophagy
GO:0006687,24,GO:0030148,0.808,3.2723871385304855,0,glycosphingolipid metabolic process,sphingolipid biosynthetic process
GO:0006066,25,GO:0006066,0.997,3.2723871385304855,2,alcohol metabolic process,alcohol metabolic process
GO:0001933,16,GO:0019220,0.829,3.2723871385304855,8,negative regulation of protein phosphorylation,regulation of phosphate metabolic process
GO:0045944,1,GO:0031325,0.889,3.2723871385304855,250,positive regulation of transcription by RNA polymerase II,positive regulation of cellular metabolic process
GO:0033993,26,GO:0033993,1,3.2723871385304855,3,response to lipid,response to lipid
GO:0032434,2,GO:0031323,0.532,3.2723871385304855,1,regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of cellular metabolic process
GO:0009056,21,GO:0009896,0.688,3.2723871385304855,0,catabolic process,positive regulation of catabolic process
GO:0031348,17,GO:0048583,0.639,3.2723871385304855,0,negative regulation of defense response,regulation of response to stimulus
GO:0016139,27,GO:0016139,1,3.2723871385304855,3,glycoside catabolic process,glycoside catabolic process
GO:0070201,22,GO:0051050,0.688,3.2723871385304855,0,regulation of establishment of protein localization,positive regulation of transport
GO:0031644,7,GO:0050877,0.665,3.2723871385304855,0,regulation of nervous system process,nervous system process
GO:0051254,1,GO:0031325,0.926,3.2723871385304855,0,positive regulation of RNA metabolic process,positive regulation of cellular metabolic process
GO:0051049,22,GO:0051050,0.917,3.2723871385304855,2,regulation of transport,positive regulation of transport
GO:0031331,21,GO:0009896,0.981,3.2723871385304855,1,positive regulation of cellular catabolic process,positive regulation of catabolic process
GO:0010638,12,GO:0016043,0.478,3.2723871385304855,0,positive regulation of organelle organization,cellular component organization
GO:0009605,10,GO:0006950,0.463,3.2723871385304855,5,response to external stimulus,response to stress
GO:0006677,24,GO:0030148,0.794,3.2723871385304855,0,glycosylceramide metabolic process,sphingolipid biosynthetic process
GO:0001818,19,GO:0051239,0.515,3.2723871385304855,0,negative regulation of cytokine production,regulation of multicellular organismal process
GO:0001817,19,GO:0051239,0.541,3.2723871385304855,0,regulation of cytokine production,regulation of multicellular organismal process
GO:0030149,24,GO:0030148,0.83,3.2723871385304855,4,sphingolipid catabolic process,sphingolipid biosynthetic process
GO:0019377,24,GO:0030148,0.729,3.2723871385304855,0,glycolipid catabolic process,sphingolipid biosynthetic process
