go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0006378,7,GO:0006139,0.37,2.746507132063104,21,mRNA polyadenylation,nucleobase-containing compound metabolic process
GO:0006366,15,GO:2001141,0.856,2.746507132063104,19,transcription by RNA polymerase II,regulation of RNA biosynthetic process
GO:0002237,24,GO:0002237,1,2.746507132063104,0,response to molecule of bacterial origin,response to molecule of bacterial origin
GO:0043603,7,GO:0006139,0.55,2.746507132063104,0,cellular amide metabolic process,nucleobase-containing compound metabolic process
GO:0051345,9,GO:0065009,0.791,2.746507132063104,1,positive regulation of hydrolase activity,regulation of molecular function
GO:0043547,9,GO:0065009,0.763,2.746507132063104,31,positive regulation of GTPase activity,regulation of molecular function
GO:0031344,1,GO:0071840,0.522,2.746507132063104,6,regulation of cell projection organization,cellular component organization or biogenesis
GO:0051656,12,GO:0051179,0.472,2.746507132063104,0,establishment of organelle localization,localization
GO:0051648,12,GO:0051179,0.407,2.746507132063104,0,vesicle localization,localization
GO:0006974,6,GO:0050896,0.483,2.746507132063104,123,cellular response to DNA damage stimulus,response to stimulus
GO:0006259,7,GO:0006139,0.592,2.746507132063104,12,DNA metabolic process,nucleobase-containing compound metabolic process
GO:0002683,25,GO:0002683,1,2.746507132063104,0,negative regulation of immune system process,negative regulation of immune system process
GO:0001711,19,GO:0007423,0.28,2.746507132063104,0,endodermal cell fate commitment,sensory organ development
GO:0001704,19,GO:0007423,0.31,2.746507132063104,2,formation of primary germ layer,sensory organ development
GO:0044281,23,GO:0043039,0.661,2.746507132063104,9,small molecule metabolic process,tRNA aminoacylation
GO:0006432,23,GO:0043039,0.801,2.746507132063104,7,phenylalanyl-tRNA aminoacylation,tRNA aminoacylation
GO:0090630,9,GO:0065009,0.715,2.746507132063104,31,activation of GTPase activity,regulation of molecular function
GO:0051129,1,GO:0071840,0.498,2.746507132063104,0,negative regulation of cellular component organization,cellular component organization or biogenesis
GO:0010639,1,GO:0071840,0.471,2.746507132063104,0,negative regulation of organelle organization,cellular component organization or biogenesis
GO:0030490,1,GO:0071840,0.433,2.746507132063104,12,maturation of SSU-rRNA,cellular component organization or biogenesis
GO:0016072,7,GO:0006139,0.494,2.746507132063104,0,rRNA metabolic process,nucleobase-containing compound metabolic process
GO:0006364,7,GO:0006139,0.488,2.746507132063104,90,rRNA processing,nucleobase-containing compound metabolic process
GO:0043065,14,GO:0043067,0.904,2.746507132063104,23,positive regulation of apoptotic process,regulation of programmed cell death
GO:0010942,14,GO:0043067,0.907,2.746507132063104,0,positive regulation of cell death,regulation of programmed cell death
GO:0097479,12,GO:0051179,0.369,2.746507132063104,2,synaptic vesicle localization,localization
GO:0016192,12,GO:0051179,0.583,2.746507132063104,139,vesicle-mediated transport,localization
GO:0000724,7,GO:0006139,0.416,2.746507132063104,43,double-strand break repair via homologous recombination,nucleobase-containing compound metabolic process
GO:0006397,7,GO:0006139,0.534,2.746507132063104,131,mRNA processing,nucleobase-containing compound metabolic process
GO:0006351,15,GO:2001141,0.932,2.746507132063104,38,DNA-templated transcription,regulation of RNA biosynthetic process
GO:0002682,25,GO:0002683,0.92,2.746507132063104,0,regulation of immune system process,negative regulation of immune system process
GO:0002009,19,GO:0007423,0.301,2.746507132063104,23,morphogenesis of an epithelium,sensory organ development
GO:0001706,19,GO:0007423,0.282,2.746507132063104,0,endoderm formation,sensory organ development
GO:0043043,7,GO:0006139,0.517,2.746507132063104,0,peptide biosynthetic process,nucleobase-containing compound metabolic process
GO:0043038,23,GO:0043039,0.995,2.746507132063104,0,amino acid activation,tRNA aminoacylation
GO:0006418,23,GO:0043039,0.985,2.746507132063104,28,tRNA aminoacylation for protein translation,tRNA aminoacylation
GO:0006412,7,GO:0006139,0.515,2.746507132063104,238,translation,nucleobase-containing compound metabolic process
GO:1902115,1,GO:0071840,0.43,2.746507132063104,1,regulation of organelle assembly,cellular component organization or biogenesis
GO:1902018,1,GO:0071840,0.332,2.746507132063104,0,negative regulation of cilium assembly,cellular component organization or biogenesis
GO:0120035,1,GO:0071840,0.52,2.746507132063104,0,regulation of plasma membrane bounded cell projection organization,cellular component organization or biogenesis
GO:0120033,1,GO:0071840,0.34,2.746507132063104,0,negative regulation of plasma membrane bounded cell projection assembly,cellular component organization or biogenesis
GO:0044087,1,GO:0071840,0.514,2.746507132063104,3,regulation of cellular component biogenesis,cellular component organization or biogenesis
GO:0031398,8,GO:0043412,0.425,2.746507132063104,2,positive regulation of protein ubiquitination,macromolecule modification
GO:0031345,1,GO:0071840,0.424,2.746507132063104,1,negative regulation of cell projection organization,cellular component organization or biogenesis
GO:0042254,1,GO:0071840,0.565,2.746507132063104,50,ribosome biogenesis,cellular component organization or biogenesis
GO:0000154,8,GO:0043412,0.5,2.746507132063104,5,rRNA modification,macromolecule modification
GO:0099003,12,GO:0051179,0.4,2.746507132063104,0,vesicle-mediated transport in synapse,localization
GO:0051649,12,GO:0051179,0.599,2.746507132063104,0,establishment of localization in cell,localization
GO:0032508,1,GO:0071840,0.437,2.746507132063104,38,DNA duplex unwinding,cellular component organization or biogenesis
GO:2001237,14,GO:0043067,0.721,2.746507132063104,0,negative regulation of extrinsic apoptotic signaling pathway,regulation of programmed cell death
GO:2001236,14,GO:0043067,0.721,2.746507132063104,0,regulation of extrinsic apoptotic signaling pathway,regulation of programmed cell death
GO:2001234,14,GO:0043067,0.825,2.746507132063104,3,negative regulation of apoptotic signaling pathway,regulation of programmed cell death
GO:2000027,19,GO:0007423,0.592,2.746507132063104,0,regulation of animal organ morphogenesis,sensory organ development
GO:1901342,20,GO:2000026,0.631,2.746507132063104,0,regulation of vasculature development,regulation of multicellular organismal development
GO:0090066,22,GO:0065008,0.756,2.746507132063104,0,regulation of anatomical structure size,regulation of biological quality
