category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0042981,3.8906220150649196e-6,1,2,2,regulation of apoptotic process,BP,8.069543441202861e-6
GO:0043009,3.8906220150649196e-6,1,2,2,chordate embryonic development,BP,8.069543441202861e-6
GO:0043065,3.8906220150649196e-6,1,2,2,positive regulation of apoptotic process,BP,8.069543441202861e-6
GO:0043067,3.8906220150649196e-6,1,2,2,regulation of programmed cell death,BP,8.069543441202861e-6
GO:0043068,3.8906220150649196e-6,1,2,2,positive regulation of programmed cell death,BP,8.069543441202861e-6
GO:0044773,3.8906220150649196e-6,1,2,2,mitotic DNA damage checkpoint signaling,BP,8.069543441202861e-6
GO:0044774,3.8906220150649196e-6,1,2,2,mitotic DNA integrity checkpoint signaling,BP,8.069543441202861e-6
GO:0044819,3.8906220150649196e-6,1,2,2,mitotic G1/S transition checkpoint signaling,BP,8.069543441202861e-6
GO:0045727,3.8906220150649196e-6,1,2,2,positive regulation of translation,BP,8.069543441202861e-6
GO:0045786,3.8906220150649196e-6,1,2,2,negative regulation of cell cycle,BP,8.069543441202861e-6
GO:0045787,3.8906220150649196e-6,1,2,2,positive regulation of cell cycle,BP,8.069543441202861e-6
GO:0045930,3.8906220150649196e-6,1,2,2,negative regulation of mitotic cell cycle,BP,8.069543441202861e-6
GO:0046649,3.8906220150649196e-6,1,2,2,lymphocyte activation,BP,8.069543441202861e-6
GO:0046883,3.8906220150649196e-6,1,2,2,regulation of hormone secretion,BP,8.069543441202861e-6
GO:0046887,3.8906220150649196e-6,1,2,2,positive regulation of hormone secretion,BP,8.069543441202861e-6
GO:0048483,3.8906220150649196e-6,1,2,2,autonomic nervous system development,BP,8.069543441202861e-6
GO:0048485,3.8906220150649196e-6,1,2,2,sympathetic nervous system development,BP,8.069543441202861e-6
GO:0048514,3.8906220150649196e-6,1,2,2,blood vessel morphogenesis,BP,8.069543441202861e-6
GO:0048534,3.8906220150649196e-6,1,2,2,hematopoietic or lymphoid organ development,BP,8.069543441202861e-6
GO:0048584,3.8906220150649196e-6,1,2,2,positive regulation of response to stimulus,BP,8.069543441202861e-6
GO:0048598,3.8906220150649196e-6,1,2,2,embryonic morphogenesis,BP,8.069543441202861e-6
GO:0048646,3.8906220150649196e-6,1,2,2,anatomical structure formation involved in morphogenesis,BP,8.069543441202861e-6
GO:0048729,3.8906220150649196e-6,1,2,2,tissue morphogenesis,BP,8.069543441202861e-6
GO:0048736,3.8906220150649196e-6,1,2,2,appendage development,BP,8.069543441202861e-6
GO:0048844,3.8906220150649196e-6,1,2,2,artery morphogenesis,BP,8.069543441202861e-6
GO:0048878,3.8906220150649196e-6,1,2,2,chemical homeostasis,BP,8.069543441202861e-6
GO:0050708,3.8906220150649196e-6,1,2,2,regulation of protein secretion,BP,8.069543441202861e-6
