Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
123M9_R1_001										6.140716581593035	1.6550159981525765	4.611987474951333	1.9853169199590297	1.806291808929318	0.12538867283676433	0.11436580260368585
123M9_R2_001										6.025208174707089	1.6145761158397525	4.498037150918796	1.8971216907455073	1.6537962759483702	0.1230850057645648	0.0
131415C14_R1_001										8.667532627698272	1.9994599848103713	4.318553862744788	1.528647668695432	1.3530212596074216	0.06735714200463108	0.0
131415C14_R2_001										7.94463131178966	1.944302885554961	4.103191512364409	1.432937719120194	1.2582601311038222	0.035630497984561235	0.16661374526404168
131415C4_R1_001										7.794311562289917	2.4013922456330112	6.9255155745842245	3.275305101479619	4.788564704753072	0.38234445475426404	0.27216299274570205
131415C4_R2_001										7.553783036023252	2.244061094193278	6.545432693093664	3.103110342268867	4.671225572106424	0.3200429754586571	0.36365150824905573
131415C9_R1_001										7.716281751624125	1.949089675945145	5.076962478925102	1.984170839690551	2.05799490937892	0.17645165578627872	0.0
131415C9_R2_001										7.154960643757163	1.8748614063764446	4.796657588383719	1.9416692538172478	1.9270589103573301	0.11200647987501765	0.20090213132842547
131415H14_R1_001										8.533333479444497	1.979902159410016	4.1261614615929725	1.2220650340947201	0.8523582506665175	0.0	0.0
131415H14_R2_001										7.89835624280637	1.844533590230073	3.9255323782140263	1.1367260203136498	0.8169245700486639	0.0	0.11235440307109279
131415H4_R1_001										7.548553325309718	2.1175793533322027	5.956229948184542	2.8265368615842066	3.7233807780255352	0.25947423239748896	0.07355572651204957
131415H4_R2_001										7.375359316606215	2.114914330451896	5.742447277801832	2.7663555647184523	3.49406436580518	0.22629824346843191	0.0729547373471955
131415H9_R1_001										7.722641434648578	2.2148791245827555	6.1643911423988635	2.7651730295662085	3.39730531863628	0.27361630840810186	0.060997978952660716
131415H9_R2_001										7.283797924832965	2.082224180059229	5.926317642477781	2.5733118248388527	3.2442246115221667	0.20546990986635905	0.20370364276781425
131415L14_R1_001										9.28303647446436	1.9512896683865573	3.5363657183209876	0.994995196156319	0.7269622978774384	0.03079609659353324	0.0
131415L14_R2_001										8.550114675889896	1.9039819384648355	3.3041277623096033	0.9557488142063636	0.6958464097124245	0.029869689951982602	0.1535853684525125
131415L4_R1_001										7.522372412744242	1.947551905141174	9.498111623156788	7.310153845438136	25.906884060801822	9.450692071298192	10.444619849952733
131415L4_R2_001										7.50202688077783	1.9333743208572858	9.401861379484322	7.215820237388177	25.093616661101425	9.505102590127208	9.800435726724476
131415L9_R1_001										7.760446158151218	1.9663049120984786	4.949016786021049	1.9307562997194074	2.0762497722122135	0.17660741604571617	0.13748559344023548
131415L9_R2_001										7.222215752688982	1.8548105528430947	4.6420080233975325	1.8683154050804562	1.8731839650349968	0.17054184250974713	0.24215209315357625
131415M14_R1_001										10.118434324570904	2.250713989656392	4.194478134065033	1.2971577431420622	0.9859467789157843	0.0	0.12853557786771075
131415M14_R2_001										9.259748223950252	2.090031704645394	3.9170506645733476	1.2438317054467396	0.8313281908219154	0.043965711357936504	0.27785954504165367
131415M4_R1_001										7.141329479116049	1.9545532732535897	5.389396992005969	2.463113603891565	3.360079795230147	0.1792283164673782	0.06486169071243587
131415M4_R2_001										6.770889938535948	1.8311232933418493	5.21979388472505	2.337369351361132	3.11447556347868	0.17386051849444384	0.25830926108761
131415M9_R1_001										7.590641491869129	2.042794814144066	5.426332738138081	2.2199610668832337	2.592079877405409	0.17011665221798847	0.0
131415M9_R2_001										7.2028866242847105	1.977014368717648	5.187393505052773	2.1175465213920464	2.3701488063411644	0.16482555647304684	0.11296140467171953
13M14_R1_001										10.59782047022953	2.6387408348692887	6.387639580676209	2.220390779453541	1.7409979698969482	0.03887337126158307	0.0
13M14_R2_001										10.365667677733494	2.696264560446074	6.1108749303513195	2.109318797204709	1.7341830678035537	0.035786100739657704	0.0
456C4_R1_001										6.146745924716781	1.58791787810168	4.1257794239882815	1.6422502558970085	1.9947318603702073	0.1354744751462102	0.0
456C4_R2_001										5.896746258063818	1.604971588229105	3.902963319372637	1.5819303008918242	1.8702079925520003	0.13462551499556902	0.20605357406733885
456H4_R1_001										7.057508218149894	2.531522835779822	7.644457731422379	4.801970906826048	10.455232206029097	2.72896570112785	1.119568809734272
456H4_R2_001										6.802694455126945	2.441987439345942	7.393676707474181	4.612028227922598	9.959053121264128	2.6833369474237734	1.1459496939877578
456H9_R1_001										8.876602185025192	1.9339203578642488	6.305203429589912	3.0991011228792704	4.653575661912318	0.5871148149325618	0.44349980256865723
456H9_R2_001										8.40008255357109	1.8272669879886934	6.1847665715221245	2.9251471855481923	4.472570895501582	0.45099961108964254	0.450591891993194
456L14_R1_001										9.15842538783066	2.053821971672602	3.8422790075380906	0.9839658580765163	0.7525378474857004	0.0	0.0
456L14_R2_001										8.823414589654345	2.027728105713705	3.6758978271989444	0.9307937111980807	0.7037842258535296	0.0	0.3386187158333043
456L4_R1_001										5.852711560595751	2.350177565205221	8.837792413678356	6.650585415767862	18.031760619080067	5.702549371946417	3.502059883305949
456L4_R2_001										5.826111420387282	2.3780013860761064	8.799196756358091	6.342491736495183	17.714784488058612	5.64097845392338	3.2152392959867404
456L9_R1_001										8.536248699625999	2.4542933204174004	8.045034310696519	3.7773512540055605	4.769061434282114	0.45043138254229126	0.09142711270252483
456L9_R2_001										8.258514708556545	2.322634073790896	7.743744784820543	3.6579717080342085	4.549094145524702	0.4315080301576192	0.07085787835498951
456M14_R1_001										8.642011298322734	2.147933769004516	5.632114450019164	1.9200713736795672	1.8417428522522064	0.12533861080912567	0.0
456M14_R2_001										8.263357529361922	2.1114524080043635	5.434151615585163	1.8142266192752685	1.7062384216290667	0.12346434146079119	0.0
456M4_R1_001										7.0293176300149725	1.8104082440740614	4.340285108817097	1.6382029315685294	1.9405959515279798	0.1260027587977624	0.32767379379183015
456M4_R2_001										6.615097188457229	1.734886583859936	4.1374352218052195	1.4966501302808002	1.8651147823254495	0.12028374440758391	0.47239892566520536
456M9_R1_001										6.851280225697229	2.332052035203448	7.5507836005532125	4.222220858517009	6.959144111669508	1.1529381575709012	0.3478945884398192
456M9_R2_001										6.5758419643128185	2.189742351239163	7.194562790450106	4.060834034296473	6.551990885783779	1.0149707404862836	0.6569666814181905
45C14_R1_001										6.4192304544192575	2.330641173183162	8.349867788434674	6.515367319046383	18.515448200757074	6.157151432851854	4.484843654600106
45C14_R2_001										6.3579980630489406	2.2621798872247325	8.222368385281836	6.295041950343918	18.164368978023525	5.817731959407439	3.956445091788669
45C9_R1_001										8.388715327758204	2.379633479386033	7.0328944578474095	3.44783432208394	4.878666240237055	0.40784600325683257	0.4153244509913206
45C9_R2_001										7.7598199687608505	2.2642385627283823	6.6465459642199285	3.3182662325689365	4.4711895040580645	0.3555193705788587	0.8079183477900029
45H14_R1_001										7.884047908487017	2.4111747237072008	7.215388858116327	3.2994513945302506	5.353358941043979	0.7353142372586918	0.23415896121274463
45H14_R2_001										7.57248597077446	2.385942493651805	7.146419293505459	3.165762894338215	5.142653517637453	0.6376667993326159	0.40543571014000973
67C9_R1_001										7.009480142330481	2.322053031348769	7.082226910331844	3.8106513646982676	5.312137374597857	0.5617146195989275	0.154183632459248
67C9_R2_001										6.791047023609886	2.174649507683374	7.096872758430542	3.70837057191832	5.207971793968946	0.38954295732719996	0.15121214489059423
6C14_R1_001										7.048478499754306	1.9341073944543339	5.324949316305857	2.076700525966791	2.3945675906639976	0.14952136416523845	0.05840451280114448
