category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0008150,2.57700325261293e-7,0.9999998825911871,2802,6529,biological_process,BP,1.1289031294116869e-4,1,over
GO:0010468,2.96456302898239e-7,1,832,1809,regulation of gene expression,BP,1.2698211640807902e-4,1,over
GO:0010557,3.7990339722087887e-7,1,430,885,positive regulation of macromolecule biosynthetic process,BP,1.5580080811558383e-4,1,over
GO:0006413,1.0960220415943084e-6,0.9999995904996068,69,108,translational initiation,BP,4.2251649703460586e-4,1,over
GO:0006614,1.9353964150918293e-6,0.9999994754782923,44,62,SRP-dependent cotranslational protein targeting to membrane,BP,7.314659980567649e-4,1,over
GO:0006613,2.4765629107243407e-6,0.9999992871255154,46,66,cotranslational protein targeting to membrane,BP,8.839953723002161e-4,1,over
GO:0002376,3.007515846579925e-6,0.9999981182589507,460,963,immune system process,BP,0.00105399759896051,1,over
GO:0022613,5.105129746282787e-6,0.9999974410761814,191,366,ribonucleoprotein complex biogenesis,BP,0.001567477450278404,1,over
GO:0071705,5.123272600131749e-6,0.999996623383455,424,885,nitrogen compound transport,BP,0.001567477450278404,1,over
GO:0030901,5.702010932139451e-6,0.9999990438658719,27,34,midbrain development,BP,0.0016908655494921219,1,over
GO:0006955,5.889760624582977e-6,0.9999965516564331,260,517,immune response,BP,0.0017200778187702558,1,over
GO:0009891,6.987500633149614e-6,0.9999951906236746,453,950,positive regulation of biosynthetic process,BP,0.0020102100702083406,1,over
GO:0010628,1.0877766324903146e-5,0.9999922342337729,443,930,positive regulation of gene expression,BP,0.0029530837452465936,1,over
GO:0045944,1.2426402877685624e-5,0.999992280603283,255,509,positive regulation of transcription by RNA polymerase II,BP,0.0032810810337998686,1,over
GO:0044248,1.3843593923411116e-5,0.9999898301958485,505,1075,cellular catabolic process,BP,0.0034493503562625476,1,over
GO:0010556,1.3872406642152394e-5,0.9999892892385768,720,1571,regulation of macromolecule biosynthetic process,BP,0.0034493503562625476,1,over
GO:0016071,1.3952400029723645e-5,0.9999910379346152,260,521,mRNA metabolic process,BP,0.0034493503562625476,1,over
GO:0000184,1.395846058565389e-5,0.9999949445346283,53,82,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,0.0034493503562625476,1,over
GO:0090304,1.4325297149327402e-5,0.9999889476025491,712,1552,nucleic acid metabolic process,BP,0.003495191171560578,1,over
GO:0007423,1.5211183772955513e-5,0.9999903009746682,247,493,sensory organ development,BP,0.0036649445902964687,1,over
GO:0032502,1.6258179119777864e-5,0.999986600405326,1371,3113,developmental process,BP,0.0038688444757249175,1,over
GO:0048732,1.809992366460067e-5,0.9999895824398395,166,317,gland development,BP,0.004203325646206963,1,over
GO:0009950,2.0578298902433575e-5,0.9999934103780576,43,64,dorsal/ventral axis specification,BP,0.004507348992550082,1,over
GO:0006810,2.2641472983555082e-5,0.9999818737685654,910,2024,transport,BP,0.004903532491663193,1,over
GO:0048731,2.3383037491041714e-5,0.9999810101375948,1036,2321,system development,BP,0.005007867195998101,1,over
GO:1902680,2.813398837617688e-5,0.9999799869663005,351,728,positive regulation of RNA biosynthetic process,BP,0.005830995977965691,1,over
GO:0090596,2.9991350275762983e-5,0.9999832484893335,139,261,sensory organ morphogenesis,BP,0.006149822091120548,1,over
GO:0030278,3.0568254171590644e-5,0.9999889170804637,49,76,regulation of ossification,BP,0.0062021378858674705,1,over
GO:0048598,3.0894424743994146e-5,0.9999797676410688,230,459,embryonic morphogenesis,BP,0.006203021218130074,1,over
GO:0010608,3.5463553979216784e-5,0.9999782374730343,174,337,post-transcriptional regulation of gene expression,BP,0.006904646494438419,1,over
GO:0006396,3.942848576691021e-5,0.9999721958225236,319,659,RNA processing,BP,0.007524594684724697,1,over
GO:0045087,4.054719524887392e-5,0.9999790244997168,95,169,innate immune response,BP,0.007587836780796552,1,over
GO:0060255,4.3515405549145724e-5,0.9999641074036159,1122,2529,regulation of macromolecule metabolic process,BP,0.008064994634228691,1,over
GO:0001654,4.612941986050094e-5,0.9999705581743794,194,382,eye development,BP,0.008468043502963388,1,over
GO:0021953,4.7226947959337626e-5,0.999982572212583,48,75,central nervous system neuron differentiation,BP,0.008501180539004,1,over
GO:0042254,4.736150329156284e-5,0.9999733406347001,126,235,ribosome biogenesis,BP,0.008501180539004,1,over
GO:0009056,4.76556746285048e-5,0.9999634097948928,538,1161,catabolic process,BP,0.008501180539004,1,over
GO:0003281,4.863925606248665e-5,0.9999925208039492,21,26,ventricular septum development,BP,0.008501180539004,1,over
GO:0019538,4.8806598927214064e-5,0.9999601821595453,949,2122,protein metabolic process,BP,0.008501180539004,1,over
GO:0048519,4.895621477714366e-5,0.9999596768787921,1067,2402,negative regulation of biological process,BP,0.008501180539004,1,over
GO:0006417,5.132311414705282e-5,0.9999710450731706,126,235,regulation of translation,BP,0.008817196074966966,1,over
GO:0051254,5.169095494014357e-5,0.9999622141932119,376,789,positive regulation of RNA metabolic process,BP,0.008817196074966966,1,over
GO:1903706,5.252395585693973e-5,0.9999720097400882,100,180,regulation of hemopoiesis,BP,0.008880695167916782,1,over
GO:0045935,6.637158446712696e-5,0.9999504349502312,419,889,positive regulation of nucleobase-containing compound metabolic process,BP,0.011028554229343727,1,over
GO:0007389,7.172128844011928e-5,0.9999509907799767,247,502,pattern specification process,BP,0.01161704062759075,1,over
GO:0003156,7.666008823460055e-5,0.9999879395246687,20,25,regulation of animal organ formation,BP,0.012313526672682713,1,over
GO:0009892,7.804117529207192e-5,0.9999383783294149,631,1381,negative regulation of metabolic process,BP,0.012431765733509804,1,over
GO:0042886,7.937112286925027e-5,0.9999419761264194,356,749,amide transport,BP,0.012440318940653606,1,over
GO:0048513,7.938569285086347e-5,0.9999357590176872,802,1784,animal organ development,BP,0.012440318940653606,1,over
GO:0010605,8.079318345818434e-5,0.9999367735379646,577,1256,negative regulation of macromolecule metabolic process,BP,0.012558779122229862,1,over
GO:0072594,8.639884380273235e-5,0.9999470066528099,152,293,establishment of protein localization to organelle,BP,0.013216965986489413,1,over
GO:0045047,9.167581638189895e-5,0.9999646197221765,48,76,protein targeting to ER,BP,0.013805088755946111,1,over
