category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0004614,0.9604611712095552,0.3178716856002239,2,3,phosphoglucomutase activity,MF,1
GO:0048842,0.9605103883668922,0.3176905631221386,2,3,positive regulation of axon extension involved in axon guidance,BP,1
GO:0002475,0.9605430637063685,0.3175702416102585,2,3,antigen processing and presentation via MHC class Ib,BP,1
GO:0048003,0.9605430637063685,0.3175702416102585,2,3,antigen processing and presentation of lipid antigen via MHC class Ib,BP,1
GO:0048007,0.9605430637063685,0.3175702416102585,2,3,"antigen processing and presentation, exogenous lipid antigen via MHC class Ib",BP,1
GO:0051136,0.9605430637063685,0.3175702416102585,2,3,regulation of NK T cell differentiation,BP,1
GO:0051138,0.9605430637063685,0.3175702416102585,2,3,positive regulation of NK T cell differentiation,BP,1
GO:0051095,0.9605468484519057,0.19484746204565978,5,7,NA,NA,1
GO:0021681,0.9605643504142325,0.19479488155108798,5,7,cerebellar granular layer development,BP,1
GO:0034667,0.9605743890565122,0.31745483565196,2,3,integrin alpha3-beta1 complex,CC,1
GO:0034677,0.9605743890565122,0.31745483565196,2,3,integrin alpha7-beta1 complex,CC,1
GO:0042676,0.9605853855768699,0.31741431037986734,2,3,compound eye cone cell fate commitment,BP,1
GO:0015420,0.9605945327673399,0.1947041821189774,5,7,ABC-type vitamin B12 transporter activity,MF,1
GO:0015889,0.9605945327673399,0.1947041821189774,5,7,cobalamin transport,BP,1
GO:0035800,0.9605957507645322,0.3173761056007509,2,3,deubiquitinase activator activity,MF,1
GO:2000158,0.9605957507645322,0.3173761056007509,2,3,positive regulation of ubiquitin-specific protease activity,BP,1
GO:0060393,0.9606517377931033,0.1263303562955183,13,17,NA,NA,1
GO:0000973,0.9607525009785626,0.3167976152797651,2,3,post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery,BP,1
GO:0010761,0.9607672744720548,0.31674302270116894,2,3,fibroblast migration,BP,1
GO:0009595,0.9607892658575246,0.3166617352037188,2,3,detection of biotic stimulus,BP,1
GO:0098581,0.9607892658575246,0.3166617352037188,2,3,detection of external biotic stimulus,BP,1
GO:0060986,0.9608053436335757,0.31660228925993583,2,3,endocrine hormone secretion,BP,1
GO:0032534,0.9608288955793574,0.19399888585996403,5,7,regulation of microvillus assembly,BP,1
GO:0016903,0.9608431955195371,0.10240326412793209,22,28,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",MF,1
GO:0000314,0.9609010883362901,0.12574502333107992,13,17,organellar small ribosomal subunit,CC,1
GO:0005763,0.9609010883362901,0.12574502333107992,13,17,mitochondrial small ribosomal subunit,CC,1
GO:0046104,0.9609032273873639,0.3162400614688392,2,3,thymidine metabolic process,BP,1
GO:0046125,0.9609032273873639,0.3162400614688392,2,3,pyrimidine deoxyribonucleoside metabolic process,BP,1
GO:0030195,0.9609063838369023,0.1937652902001929,5,7,negative regulation of blood coagulation,BP,1
GO:0050819,0.9609063838369023,0.1937652902001929,5,7,negative regulation of coagulation,BP,1
GO:1900047,0.9609063838369023,0.1937652902001929,5,7,negative regulation of hemostasis,BP,1
GO:0035076,0.9609628794750468,0.1935948526675238,5,7,ecdysone receptor signaling pathway,BP,1
GO:0030853,0.9610203890318684,0.3158057860483799,2,3,negative regulation of granulocyte differentiation,BP,1
GO:0034454,0.96102465210149,0.19340837339908024,5,7,microtubule anchoring at centrosome,BP,1
GO:0007053,0.9610769484624635,0.19325040129789528,5,7,spindle assembly involved in male meiosis,BP,1
GO:0044539,0.9610988443111568,0.19318423308857516,5,7,long-chain fatty acid import into cell,BP,1
GO:0060368,0.9611021867405396,0.1931741310123783,5,7,regulation of Fc receptor mediated stimulatory signaling pathway,BP,1
GO:0016314,0.9611035441502456,0.3154970905073648,2,3,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity",MF,1
GO:0008525,0.9611275889274928,0.3154077565078086,2,3,phosphatidylcholine transporter activity,MF,1
GO:0060347,0.9611440638254021,0.31534652810365227,2,3,heart trabecula formation,BP,1
GO:0010875,0.9611655363371892,0.1929825938246919,5,7,positive regulation of cholesterol efflux,BP,1
GO:0043569,0.9611732563006326,0.3152379974424392,2,3,negative regulation of insulin-like growth factor receptor signaling pathway,BP,1
GO:0030286,0.961174748356423,0.08974312141958621,31,39,dynein complex,CC,1
GO:0001779,0.9611750811387523,0.3152312115228707,2,3,natural killer cell differentiation,BP,1
GO:0032230,0.9611778233804281,0.19294542839744783,5,7,"positive regulation of synaptic transmission, GABAergic",BP,1
GO:0036353,0.9611918098221639,0.19290311650780695,5,7,NA,NA,1
GO:0035171,0.961203690997928,0.3151247969782208,2,3,lamellocyte differentiation,BP,1
GO:0042387,0.961203690997928,0.3151247969782208,2,3,plasmatocyte differentiation,BP,1
GO:0044789,0.9612079536367457,0.31510893808616286,2,3,NA,NA,1
GO:0044791,0.9612079536367457,0.31510893808616286,2,3,NA,NA,1
GO:0048304,0.9612350745869651,0.31500801201407225,2,3,positive regulation of isotype switching to IgG isotypes,BP,1
GO:0006037,0.9612362001430623,0.3150038225411638,2,3,NA,NA,1
GO:0042546,0.9612362118796357,0.31500377885588626,2,3,cell wall biogenesis,BP,1
GO:0044038,0.9612362118796357,0.31500377885588626,2,3,cell wall macromolecule biosynthetic process,BP,1
GO:0070589,0.9612362118796357,0.31500377885588626,2,3,NA,NA,1
GO:0034979,0.9612583421454517,0.19270175222742264,5,7,NAD-dependent protein lysine deacetylase activity,MF,1
GO:0070365,0.9612660730841714,0.19267834437759146,5,7,hepatocyte differentiation,BP,1
GO:0035103,0.9612692294534758,0.19266878689595096,5,7,NA,NA,1
GO:0005248,0.961271467064979,0.19266201120911727,5,7,voltage-gated sodium channel activity,MF,1
GO:0016926,0.9612725084510458,0.3148686393881277,2,3,protein desumoylation,BP,1
GO:0010751,0.9612836203200447,0.3148272526480632,2,3,negative regulation of nitric oxide mediated signal transduction,BP,1
GO:1904338,0.9612940301756084,0.19259367865068217,5,7,regulation of dopaminergic neuron differentiation,BP,1
GO:1904515,0.9613164143227342,0.3147050686005192,2,3,positive regulation of TORC2 signaling,BP,1
GO:0043622,0.9613580212597994,0.19239978758675988,5,7,cortical microtubule organization,BP,1
GO:0090097,0.9613875711828167,0.19231020545272207,5,7,NA,NA,1
GO:0085029,0.9614004918685699,0.19227102642494562,5,7,extracellular matrix assembly,BP,1
GO:0060159,0.9614089334362896,0.314360029251316,2,3,regulation of dopamine receptor signaling pathway,BP,1
GO:0097381,0.9614305658707325,0.31427928290772583,2,3,photoreceptor disc membrane,CC,1
GO:0006662,0.9614464599369072,0.19213159287301027,5,7,glycerol ether metabolic process,BP,1
GO:0046485,0.9614464599369072,0.19213159287301027,5,7,ether lipid metabolic process,BP,1
GO:1902237,0.9614502603278223,0.19212006205383808,5,7,positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,BP,1
GO:0035209,0.9614629967981652,0.3141581792725191,2,3,pupal development,BP,1
GO:0009820,0.9614784530652545,0.19203450675663924,5,7,alkaloid metabolic process,BP,1
GO:0004322,0.961479935307203,0.31409490345535085,2,3,ferroxidase activity,MF,1
GO:0016724,0.961479935307203,0.31409490345535085,2,3,"oxidoreductase activity, acting on metal ions, oxygen as acceptor",MF,1
GO:0050701,0.9614804053144909,0.31409314745255784,2,3,NA,NA,1
GO:0050702,0.9614804053144909,0.31409314745255784,2,3,NA,NA,1
GO:1904729,0.9614860568656476,0.3140720315905973,2,3,regulation of intestinal lipid absorption,BP,1
GO:0048382,0.9614958544337333,0.19198168608671684,5,7,mesendoderm development,BP,1
GO:0016114,0.9615026690138844,0.19196099808756698,5,7,terpenoid biosynthetic process,BP,1
GO:0042588,0.9615143148477268,0.19192563950112695,5,7,zymogen granule,CC,1
GO:0036369,0.9615351892212078,0.3138883812352109,2,3,NA,NA,1
GO:1903069,0.9615678911538442,0.1917629139200602,5,7,NA,NA,1
GO:0034505,0.9615839212569661,0.19171420719707447,5,7,tooth mineralization,BP,1
GO:0097113,0.9616028342262198,0.31363530553515456,2,3,AMPA glutamate receptor clustering,BP,1
GO:1905555,0.9616044681654061,0.31362918932362654,2,3,positive regulation of blood vessel branching,BP,1
GO:1903347,0.9616129023459226,0.3135976157893222,2,3,negative regulation of bicellular tight junction assembly,BP,1
GO:1900223,0.9616138803104645,0.3135939544926948,2,3,positive regulation of amyloid-beta clearance,BP,1
GO:0007604,0.9616146891699753,0.3135909262480443,2,3,"phototransduction, UV",BP,1
GO:0005916,0.9616237036781572,0.3135571747723952,2,3,fascia adherens,CC,1
GO:0010767,0.9616415986579794,0.3134901597583169,2,3,NA,NA,1
GO:0010616,0.9616741181141161,0.3133683300544482,2,3,negative regulation of cardiac muscle adaptation,BP,1
GO:0014745,0.9616741181141161,0.3133683300544482,2,3,negative regulation of muscle adaptation,BP,1
GO:0042985,0.9616792241967187,0.31334919525415816,2,3,negative regulation of amyloid precursor protein biosynthetic process,BP,1
GO:0010460,0.9616897083127185,0.1913925581615933,5,7,positive regulation of heart rate,BP,1
GO:0090205,0.9617122251648538,0.19132404552948107,5,7,positive regulation of cholesterol metabolic process,BP,1
GO:0006288,0.9617131797217875,0.31322191013362893,2,3,NA,NA,1
GO:0016290,0.9617349986098664,0.1912547344886724,5,7,NA,NA,1
GO:0072023,0.9617391000787627,0.3131247005245606,2,3,thick ascending limb development,BP,1
GO:0072025,0.9617391000787627,0.3131247005245606,2,3,distal convoluted tubule development,BP,1
GO:0072221,0.9617391000787627,0.3131247005245606,2,3,metanephric distal convoluted tubule development,BP,1
GO:0072233,0.9617391000787627,0.3131247005245606,2,3,metanephric thick ascending limb development,BP,1
GO:2000823,0.9617600804553439,0.3130459888657594,2,3,NA,NA,1
GO:2000825,0.9617600804553439,0.3130459888657594,2,3,positive regulation of androgen receptor activity,BP,1
GO:0044264,0.9617666371368304,0.07823441130358841,48,59,NA,NA,1
GO:0051020,0.9617775113718932,0.05356377842271581,288,338,GTPase binding,MF,1
GO:0090241,0.9617869716496794,0.19109648778597996,5,7,NA,NA,1
GO:2000619,0.9617869716496794,0.19109648778597996,5,7,NA,NA,1
GO:1904016,0.9617988127568874,0.3129006104794232,2,3,response to Thyroglobulin triiodothyronine,BP,1
GO:0016456,0.961801216463976,0.19105309920609828,5,7,"X chromosome located dosage compensation complex, transcription activating",CC,1
GO:0010107,0.9618455598513161,0.1909179880927267,5,7,NA,NA,1
GO:2000282,0.9618613019891367,0.31266587844461735,2,3,regulation of amino acid biosynthetic process,BP,1
GO:0070305,0.9618753147890649,0.31261321008973375,2,3,response to cGMP,BP,1
GO:0071321,0.9618753147890649,0.31261321008973375,2,3,cellular response to cGMP,BP,1
GO:0043117,0.9618759791079718,0.31261071290340897,2,3,positive regulation of vascular permeability,BP,1
GO:0030990,0.9618774185854133,0.1098214227748488,17,22,intraciliary transport particle,CC,1
GO:0043423,0.9618932423637852,0.3125458109992991,2,3,3-phosphoinositide-dependent protein kinase binding,MF,1
GO:0075044,0.9619064491462599,0.31249614782121576,2,3,NA,NA,1
GO:0075071,0.9619064491462599,0.31249614782121576,2,3,symbiont-mediated perturbation of host autophagy,BP,1
GO:0006290,0.9619172092361978,0.19069953451045965,5,7,pyrimidine dimer repair,BP,1
GO:0051923,0.9619184116523997,0.19069586692324553,5,7,sulfation,BP,1
GO:1903242,0.9619211253073295,0.3124409471954512,2,3,regulation of cardiac muscle hypertrophy in response to stress,BP,1
GO:1905064,0.9619309375768103,0.3124040338313262,2,3,negative regulation of vascular associated smooth muscle cell differentiation,BP,1
GO:0016671,0.9619412839449843,0.19062609280192339,5,7,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",MF,1
GO:0071051,0.9619427589014745,0.1906215926861124,5,7,poly(A)-dependent snoRNA 3'-end processing,BP,1
GO:1903026,0.9619620200331234,0.3122870657027223,2,3,negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding,BP,1
GO:0002084,0.9619688129038474,0.190542089115944,5,7,protein depalmitoylation,BP,1
GO:0008474,0.9619688129038474,0.190542089115944,5,7,palmitoyl-(protein) hydrolase activity,MF,1
