category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0008150,6.303391909116344e-11,1,870,6529,biological_process,BP,7.593617440513596e-8,1,over
GO:0009987,3.197390301283801e-10,1,800,5963,cellular process,BP,3.6252763563085447e-7,1,over
GO:0051234,4.799315866420697e-10,1,325,2111,establishment of localization,BP,5.139267406958829e-7,1,over
GO:0045055,2.1545368240075765e-9,1,77,346,regulated exocytosis,BP,2.076434864137302e-6,1,over
GO:0006810,3.883936890885029e-9,1,309,2024,transport,BP,3.564899217705187e-6,1,over
GO:0016043,4.785886482934563e-9,1,439,3066,cellular component organization,BP,4.193089179934714e-6,1,over
GO:0071840,5.145402498734508e-9,1,457,3212,cellular component organization or biogenesis,BP,4.312071007091637e-6,1,over
GO:0006119,9.238609756449611e-9,0.9999999980852327,28,73,oxidative phosphorylation,BP,6.849007809829471e-6,1,over
GO:0008152,1.010306551015363e-8,1,614,4463,metabolic process,BP,7.21246621141523e-6,1,over
GO:0051179,1.5600277301031684e-8,1,383,2647,localization,BP,1.073911946347806e-5,1,over
GO:0006887,2.0456489472548546e-8,1,79,378,exocytosis,BP,1.3127134011575791e-5,1,over
GO:0006091,2.0567804922267244e-8,1,62,259,generation of precursor metabolites and energy,BP,1.3127134011575791e-5,1,over
GO:0065007,2.548288298229451e-8,1,620,4584,biological regulation,BP,1.3275204580641262e-5,1,over
GO:0031124,8.332605199242577e-8,0.9999999819994618,25,70,mRNA 3'-end processing,BP,4.015274130385017e-5,1,over
GO:0051649,1.4157422740638796e-7,1,194,1218,establishment of localization in cell,BP,6.34614705408867e-5,1,over
GO:0046907,1.592752421895837e-7,1,175,1073,intracellular transport,BP,6.977341575464149e-5,1,over
GO:0044238,1.6575366346826415e-7,1,562,4109,primary metabolic process,BP,7.099781918557315e-5,1,over
GO:0002263,2.3562713963195693e-7,1,64,299,cell activation involved in immune response,BP,9.663219396608447e-5,1,over
GO:0006397,2.4650509593205255e-7,1,73,351,mRNA processing,BP,9.898720258521486e-5,1,over
GO:0006996,2.7099327880188535e-7,1,316,2177,organelle organization,BP,1.044679089781268e-4,1,over
GO:0050789,3.3165987236241364e-7,1,574,4275,regulation of biological process,BP,1.2061781207142496e-4,1,over
GO:0050896,3.5357483608039203e-7,1,445,3216,response to stimulus,BP,1.2620657343425106e-4,1,over
GO:0002366,4.0618013411526065e-7,1,63,297,leukocyte activation involved in immune response,BP,1.398057515191366e-4,1,over
GO:0000377,6.490271969262729e-7,1,62,289,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",BP,2.156896417371364e-4,1,over
GO:0000398,6.490271969262729e-7,1,62,289,"mRNA splicing, via spliceosome",BP,2.156896417371364e-4,1,over
GO:0022607,8.383338231325453e-7,0.9999996591689175,235,1548,cellular component assembly,BP,2.7387939730304765e-4,1,over
GO:0016071,1.0219442148384794e-6,0.9999996357433926,97,521,mRNA metabolic process,BP,3.229176187051097e-4,1,over
GO:0065003,1.0693026474339634e-6,0.9999995875180253,151,909,protein-containing complex assembly,BP,3.3243239563370393e-4,1,over
GO:0042221,1.1352352317840554e-6,0.9999995300847517,274,1851,response to chemical,BP,3.473279221053598e-4,1,over
GO:0002274,1.2409993412392496e-6,0.9999996087521714,59,277,myeloid leukocyte activation,BP,3.7375409847478964e-4,1,over
GO:0046903,1.3308515039681165e-6,0.9999995199423085,100,560,secretion,BP,3.886691324088704e-4,1,over
GO:0002283,1.5512157873951356e-6,0.9999995189123304,55,253,neutrophil activation involved in immune response,BP,4.2355231472597765e-4,1,over
