category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0048232,0.11959849009207943,0.9684482385384444,3,416,male gamete generation,BP,1,0.9999964912460819
GO:0051276,0.12128317944337855,0.9604720380076974,4,667,chromosome organization,BP,1,0.9999964912460819
GO:0021766,0.12432228625468889,0.9923425886017242,1,46,hippocampus development,BP,1,0.9999964912460819
GO:0006913,0.12527290619135606,0.9770191997143154,2,216,nucleocytoplasmic transport,BP,1,0.9999964912460819
GO:0042254,0.1258798640046847,0.9768309272901957,2,235,ribosome biogenesis,BP,1,0.9999964912460819
GO:0051169,0.127352033059742,0.9764082221736449,2,219,nuclear transport,BP,1,0.9999964912460819
GO:0044344,0.13222274889625713,0.9912847701919584,1,54,cellular response to fibroblast growth factor stimulus,BP,1,0.9999964912460819
GO:0071774,0.13222274889625713,0.9912847701919584,1,54,response to fibroblast growth factor,BP,1,0.9999964912460819
GO:0022607,0.13237776754699557,0.941570722250644,7,1548,cellular component assembly,BP,1,0.9999964912460819
GO:0019233,0.13260151713298723,0.9912251951647499,1,57,sensory perception of pain,BP,1,0.9999964912460819
GO:1901607,0.1329855203888951,0.9911940130157304,1,50,alpha-amino acid biosynthetic process,BP,1,0.9999964912460819
GO:0051701,0.13610201091450347,0.9907584286589926,1,52,biological process involved in interaction with host,BP,1,0.9999964912460819
GO:0008298,0.14127263614675345,0.9900096648652826,1,56,intracellular mRNA localization,BP,1,0.9999964912460819
GO:0051785,0.1418029446453971,0.9899458140146079,1,52,positive regulation of nuclear division,BP,1,0.9999964912460819
GO:0035821,0.1420145127536299,0.9898985010536325,1,57,modulation of process of another organism,BP,1,0.9999964912460819
GO:0002244,0.1424026272678291,0.989858233353487,1,52,hematopoietic progenitor cell differentiation,BP,1,0.9999964912460819
GO:0001824,0.14292929567096843,0.9897885889872429,1,50,blastocyst development,BP,1,0.9999964912460819
GO:0006996,0.1430067759392319,0.9301950130470713,9,2177,organelle organization,BP,1,0.9999964912460819
GO:0006446,0.1432078409079095,0.9897295966848398,1,55,regulation of translational initiation,BP,1,0.9999964912460819
GO:0019953,0.1457827500519506,0.9427391793768644,5,976,sexual reproduction,BP,1,0.9999964912460819
GO:0007611,0.14596896312572577,0.9706667755829452,2,233,learning or memory,BP,1,0.9999964912460819
GO:0032479,0.14661480248395373,0.9892208356044562,1,55,regulation of type I interferon production,BP,1,0.9999964912460819
GO:0007097,0.14753931985119653,0.9890955505448479,1,51,nuclear migration,BP,1,0.9999964912460819
GO:0070727,0.14955494974153136,0.9407708259977008,5,996,cellular macromolecule localization,BP,1,0.9999964912460819
GO:0051445,0.15492345071196287,0.9878985710097249,1,63,regulation of meiotic cell cycle,BP,1,0.9999964912460819
GO:0050890,0.15599466437086149,0.9673685591982526,2,243,cognition,BP,1,0.9999964912460819
GO:0007346,0.15621170744197072,0.9536038410251226,3,469,regulation of mitotic cell cycle,BP,1,0.9999964912460819
GO:0022404,0.15730745796935974,0.9875392450891656,1,55,molting cycle process,BP,1,0.9999964912460819
GO:0008584,0.1584210674897605,0.9873382750679917,1,60,male gonad development,BP,1,0.9999964912460819
GO:0034502,0.1587996129150427,0.9872903202884987,1,56,protein localization to chromosome,BP,1,0.9999964912460819
GO:0046546,0.1595937659450671,0.9871408428221704,1,61,development of primary male sexual characteristics,BP,1,0.9999964912460819
GO:0021761,0.16266471223293819,0.9866152304987844,1,64,limbic system development,BP,1,0.9999964912460819
