gene,category
Montipora_capitata_HIv3___RNAseq.g5098.t1,ko05162
Montipora_capitata_HIv3___RNAseq.g5098.t1,ko05164
Montipora_capitata_HIv3___RNAseq.g5100.t1,ko04013
Montipora_capitata_HIv3___RNAseq.g5100.t1,ko04320
Montipora_capitata_HIv3___RNAseq.g5100.t1,ko05202
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko00230
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko00240
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko03030
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko03410
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko03420
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko03430
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko03440
Montipora_capitata_HIv3___RNAseq.g5104.t1,ko05166
Montipora_capitata_HIv3___RNAseq.601_t,ko00561
Montipora_capitata_HIv3___RNAseq.601_t,ko01100
Montipora_capitata_HIv3___RNAseq.601_t,ko04714
Montipora_capitata_HIv3___RNAseq.601_t,ko04923
Montipora_capitata_HIv3___TS.g26817.t1b,ko00561
Montipora_capitata_HIv3___TS.g26817.t1b,ko01100
Montipora_capitata_HIv3___TS.g26817.t1b,ko04714
Montipora_capitata_HIv3___TS.g26817.t1b,ko04923
Montipora_capitata_HIv3___RNAseq.604_t,ko00561
Montipora_capitata_HIv3___RNAseq.604_t,ko01100
Montipora_capitata_HIv3___RNAseq.604_t,ko04714
Montipora_capitata_HIv3___RNAseq.604_t,ko04923
Montipora_capitata_HIv3___TS.g26821.t2,ko00480
Montipora_capitata_HIv3___TS.g26821.t2,ko00590
Montipora_capitata_HIv3___TS.g26821.t2,ko04918
Montipora_capitata_HIv3___RNAseq.g5121.t1,ko04146
Montipora_capitata_HIv3___RNAseq.g5113.t1,ko00640
Montipora_capitata_HIv3___RNAseq.g5113.t1,ko01100
Montipora_capitata_HIv3___TS.g26835.t1,ko01521
Montipora_capitata_HIv3___TS.g26835.t1,ko01522
Montipora_capitata_HIv3___TS.g26835.t1,ko01524
Montipora_capitata_HIv3___TS.g26835.t1,ko04071
Montipora_capitata_HIv3___TS.g26835.t1,ko04115
Montipora_capitata_HIv3___TS.g26835.t1,ko04141
Montipora_capitata_HIv3___TS.g26835.t1,ko04210
Montipora_capitata_HIv3___TS.g26835.t1,ko04211
Montipora_capitata_HIv3___TS.g26835.t1,ko04215
Montipora_capitata_HIv3___TS.g26835.t1,ko04217
Montipora_capitata_HIv3___TS.g26835.t1,ko04722
Montipora_capitata_HIv3___TS.g26835.t1,ko04932
Montipora_capitata_HIv3___TS.g26835.t1,ko04933
Montipora_capitata_HIv3___TS.g26835.t1,ko05014
Montipora_capitata_HIv3___TS.g26835.t1,ko05016
Montipora_capitata_HIv3___TS.g26835.t1,ko05020
Montipora_capitata_HIv3___TS.g26835.t1,ko05152
Montipora_capitata_HIv3___TS.g26835.t1,ko05161
Montipora_capitata_HIv3___TS.g26835.t1,ko05165
Montipora_capitata_HIv3___TS.g26835.t1,ko05166
Montipora_capitata_HIv3___TS.g26835.t1,ko05167
Montipora_capitata_HIv3___TS.g26835.t1,ko05200
Montipora_capitata_HIv3___TS.g26835.t1,ko05202
Montipora_capitata_HIv3___TS.g26835.t1,ko05203
Montipora_capitata_HIv3___TS.g26835.t1,ko05206
Montipora_capitata_HIv3___TS.g26835.t1,ko05210
Montipora_capitata_HIv3___TS.g26835.t1,ko05212
Montipora_capitata_HIv3___TS.g26835.t1,ko05213
