go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0019430,11,GO:0042221,2.18953875010046,6,removal of superoxide radicals,response to chemical,0.8914864864864864,0.29833333333333334,0.535
GO:0031123,7,GO:0031124,2.154948435235151,57,RNA 3'-end processing,mRNA 3'-end processing,0.8712972972972973,0.43854545454545457,0.894
GO:0045321,20,GO:0045321,2.13765062553614,2,leukocyte activation,leukocyte activation,0.9721621621621621,0.5415,0
GO:0045184,19,GO:0045184,2.13765062553614,447,establishment of protein localization,establishment of protein localization,0.8370945945945946,0.29259999999999997,0
GO:0022904,4,GO:0006119,2.0965194460893217,47,respiratory electron transport chain,oxidative phosphorylation,0.8938310810810811,0.16066666666666662,0.906
GO:0042775,4,GO:0006119,2.0965194460893217,44,mitochondrial ATP synthesis coupled electron transport,oxidative phosphorylation,0.8934189189189189,0.15422222222222226,0.978
GO:0042773,4,GO:0006119,2.0965194460893217,44,ATP synthesis coupled electron transport,oxidative phosphorylation,0.8932635135135135,0.1534444444444445,0.98
GO:0060341,21,GO:0060341,2.058587667692303,173,regulation of cellular localization,regulation of cellular localization,0.84775,0.39225,0
GO:0051168,8,GO:0051649,2.0336267617943995,56,nuclear export,establishment of localization in cell,0.8708783783783784,0.28400000000000003,0.691
GO:0042743,17,GO:1903409,2.0300064481706532,7,hydrogen peroxide metabolic process,reactive oxygen species biosynthetic process,0.9361824324324324,0.44566666666666666,0.791
GO:0009117,16,GO:0044281,2.0059339159151666,191,nucleotide metabolic process,small molecule metabolic process,0.8172770270270271,0.3722,0.787
GO:0001775,20,GO:0045321,2.0036468472351037,9,cell activation,leukocyte activation,0.9824594594594594,0.5415,0.917
GO:0006753,16,GO:0044281,2.001403791099916,268,nucleoside phosphate metabolic process,small molecule metabolic process,0.8140675675675676,0.3582000000000001,0.816
GO:0006839,22,GO:0006839,1.9656427444976925,68,mitochondrial transport,mitochondrial transport,0.9173986486486486,1,0
GO:0048678,9,GO:0050896,1.9109502809508938,40,response to axon injury,response to stimulus,0.9665337837837837,0.5416000000000001,0.34
GO:0009058,5,GO:0008152,1.9038545870043861,3229,biosynthetic process,metabolic process,0.879195945945946,0.6332,0.513
GO:0009611,9,GO:0050896,1.9038545870043861,52,response to wounding,response to stimulus,0.9661148648648649,0.5366,0.348
GO:0006886,19,GO:0045184,1.8683797352505014,204,intracellular protein transport,establishment of protein localization,0.8352162162162162,0.34173333333333333,0.877
