category,universegenes,universecount
GO:0003150,,2
GO:0003151,,26
GO:0003156,,25
GO:0003157,,5
GO:0003158,,38
GO:0003159,,6
GO:0003160,,2
GO:0003161,,3
GO:0003170,,19
GO:0003171,,9
GO:0003172,,1
GO:0003174,,7
GO:0003175,,3
GO:0003176,,4
GO:0003177,,4
GO:0003179,,12
GO:0003180,,2
GO:0003181,,7
GO:0003183,,7
GO:0003184,,2
GO:0003185,,1
GO:0003186,,3
GO:0003188,,2
GO:0003190,,1
GO:0003192,,1
GO:0003197,,11
GO:0003198,,2
GO:0003203,,8
GO:0003205,,70
GO:0003206,,52
GO:0003207,,4
GO:0003208,,29
GO:0003209,,12
GO:0003211,,4
GO:0003214,,6
GO:0003215,,7
GO:0003219,,1
GO:0003221,,1
GO:0003222,,8
GO:0003223,,5
GO:0003226,,1
GO:0003228,,2
GO:0003229,,18
GO:0003230,,13
GO:0003231,,49
GO:0003241,,2
GO:0003243,,1
GO:0003245,,1
GO:0003247,,1
GO:0003250,,1
GO:0003252,,1
GO:0003253,,2
GO:0003254,,24
GO:0003256,,3
GO:0003257,,1
GO:0003264,,6
GO:0003266,,5
GO:0003271,,1
GO:0003272,,6
GO:0003273,,1
GO:0003279,,44
GO:0003281,,26
GO:0003283,,6
GO:0003284,,3
GO:0003285,,1
GO:0003289,,3
GO:0003290,,1
GO:0003298,,4
GO:0003299,,10
GO:0003300,,17
GO:0003301,,4
GO:0003306,,5
GO:0003307,,3
GO:0003308,,1
GO:0003309,,14
