go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0009890,66,GO:0048519,10,515,negative regulation of biosynthetic process,negative regulation of biological process,0.836672,0.20392307692307698,0.852
GO:0045944,44,GO:0048518,10,255,positive regulation of transcription by RNA polymerase II,positive regulation of biological process,0.8310590769230769,0.20323076923076921,0.696
GO:0010558,66,GO:0048519,10,504,negative regulation of macromolecule biosynthetic process,negative regulation of biological process,0.8307163076923076,0.20215384615384613,0.85
GO:0040008,53,GO:0040008,10,162,regulation of growth,regulation of growth,0.9299236923076923,0.20016666666666671,0
GO:0009725,40,GO:0009719,10,38,response to hormone,response to endogenous stimulus,0.9557347692307693,0.17333333333333334,0.924
GO:0001775,27,GO:0001775,10,9,cell activation,cell activation,0.9593833846153846,0.1606428571428571,0
GO:0007417,70,GO:0048731,9,30,central nervous system development,system development,0.9351993846153847,0.5360416666666667,0.619
GO:0035295,19,GO:0009653,9,103,tube development,anatomical structure morphogenesis,0.9322984615384615,0.5025454545454545,0.432
GO:0043604,21,GO:0043604,9,51,amide biosynthetic process,amide biosynthetic process,0.9501292307692307,0.46299999999999997,0
GO:0043603,21,GO:0043604,9,177,amide metabolic process,amide biosynthetic process,0.9556547692307692,0.4395,0.895
GO:0035239,19,GO:0009653,9,49,tube morphogenesis,anatomical structure morphogenesis,0.9298775384615384,0.3986363636363637,0.659
GO:1901701,45,GO:0042221,9,89,cellular response to oxygen-containing compound,response to chemical,0.9403735384615385,0.39641176470588235,0.702
GO:0030182,70,GO:0048731,9,326,neuron differentiation,system development,0.9018812307692308,0.3872916666666667,0.864
GO:0016310,13,GO:0006793,9,441,phosphorylation,phosphorus metabolic process,0.9407021538461539,0.38649999999999995,0.797
GO:0006366,5,GO:0006139,9,762,transcription by RNA polymerase II,nucleobase-containing compound metabolic process,0.914444923076923,0.3767857142857143,0.628
