category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,bh_adjust,gene,pattern
ko04310,0.5982660728452192,0.7713603585596647,1,85,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko03018,0.6092668212683103,0.7612594799269705,1,86,1,Montipora_capitata_HIv3___RNAseq.g26803.t1,1
ko04934,0.6136443073525266,0.757095174613244,1,89,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko04114,0.6179190959600451,0.7530467464693249,1,89,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko04919,0.6265069564501955,0.7447917529291297,1,88,1,Montipora_capitata_HIv3___RNAseq.g15684.t2,2
ko04145,0.6294098055594998,0.7419032902453031,1,90,1,Montipora_capitata_HIv3___RNAseq.g23082.t1,1
ko05418,0.6305859421797146,0.7406794280075243,1,93,1,Montipora_capitata_HIv3___RNAseq.g18416.t1,1
ko05012,0.6308531426399109,0.7403541747627042,1,96,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko00240,0.6374715047776369,0.7338005233041665,1,94,1,Montipora_capitata_HIv3___RNAseq.g38474.t1,3
ko05152,0.6539104759999813,0.7167890091675798,1,99,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko04110,0.6735084576211423,0.6955619937977773,1,101,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko04140,0.6832612465803494,0.6844667721740187,1,107,1,Montipora_capitata_HIv3___RNAseq.g11410.t1,1
ko05010,0.7006459650086014,0.6640135395622868,1,114,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko03010,0.7227956827022268,0.6364401375535572,1,126,1,Montipora_capitata_HIv3___RNAseq.g9870.t1,1
ko05206,0.7663689233834015,0.5771528986772325,1,130,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko04120,0.7707485298831963,0.5707132879285202,1,134,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko05169,0.77951346571785,0.5575910145853251,1,141,1,Montipora_capitata_HIv3___RNAseq.g38474.t1,3
ko05203,0.7802881883379066,0.5564226066788402,1,141,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko03013,0.7915851729233873,0.5390542140869561,1,142,1,Montipora_capitata_HIv3___TS.g15697.t1,1
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___TS.g48661.t1,2
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___RNAseq.g27818.t1,1
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___RNAseq.g29575.t1,1
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___RNAseq.g30106.t1a,1
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___RNAseq.g30158.t1,1
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___RNAseq.g33790.t1,3
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___RNAseq.g46103.t2,1
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___RNAseq.g48280.t1,1
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1,Montipora_capitata_HIv3___RNAseq.g38474.t1,3
ko04010,0.812945067187244,0.5043881324901752,1,153,1,Montipora_capitata_HIv3___RNAseq.g45000.t1,1
ko00230,0.8171984661743021,0.4972032085902097,1,155,1,Montipora_capitata_HIv3___RNAseq.g38474.t1,3
ko05016,0.8319120086481293,0.47159558720712413,1,159,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko01120,0.8482865277323497,0.44143413230724515,1,177,1,Montipora_capitata_HIv3___RNAseq.g33790.t1,3
ko01110,0.8495455750067376,0.3494857070251447,2,313,1,Montipora_capitata_HIv3___RNAseq.g27818.t1,1
ko01110,0.8495455750067376,0.3494857070251447,2,313,1,Montipora_capitata_HIv3___RNAseq.g33790.t1,3
ko01130,0.8971369680454345,0.3401231567919838,1,215,1,Montipora_capitata_HIv3___RNAseq.g33790.t1,3
