module,Count,Percent,Term,GO.IDs,n_goids,n_genes,genes,DEdueto,pattern
leachate_up,1,0.06854009595613433,digestive system process,GO:0030421,1,1,Montipora_capitata_HIv3___RNAseq.g33365.t1,leachate,up
leachate_up,97,6.648389307745031,signaling,GO:0000075;GO:0000077;GO:0000165;GO:0001956;GO:0001959;GO:0007093;GO:0007094;GO:0007095;GO:0007165;GO:0007166;GO:0007167;GO:0007169;GO:0007267;GO:0007268;GO:0007269;GO:0007274;GO:0008277;GO:0008286;GO:0008630;GO:0009755;GO:0009966;GO:0009967;GO:0009968;GO:0010469;GO:0016055;GO:0016079;GO:0016082;GO:0023051;GO:0023056;GO:0023057;GO:0023061;GO:0030111;GO:0030177;GO:0030178;GO:0030330;GO:0030522;GO:0031570;GO:0031571;GO:0031577;GO:0031629;GO:0031915;GO:0032024;GO:0033143;GO:0033145;GO:0033146;GO:0035329;GO:0035556;GO:0042062;GO:0042770;GO:0042771;GO:0043408;GO:0043409;GO:0044336;GO:0044337;GO:0044773;GO:0044774;GO:0044818;GO:0044819;GO:0045744;GO:0046883;GO:0046887;GO:0046928;GO:0048015;GO:0048167;GO:0048384;GO:0050796;GO:0050804;GO:0050806;GO:0060070;GO:0060338;GO:0060828;GO:0071173;GO:0071174;GO:0072331;GO:0072332;GO:0090090;GO:0090263;GO:0090276;GO:0090277;GO:0097190;GO:0097193;GO:0098916;GO:0099177;GO:0099536;GO:0099537;GO:0099643;GO:1900736;GO:1900737;GO:1901796;GO:1902531;GO:1902532;GO:1904886;GO:2000300;GO:2000302;GO:2000322;GO:2000324; GO:0023052,97,16,Montipora_capitata_HIv3___RNAseq.g11828.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g39730.t1;Montipora_capitata_HIv3___RNAseq.g7741.t1;Montipora_capitata_HIv3___RNAseq.g41261.t1;Montipora_capitata_HIv3___RNAseq.g45000.t1;Montipora_capitata_HIv3___RNAseq.g15754.t1;Montipora_capitata_HIv3___RNAseq.g26744.t1;Montipora_capitata_HIv3___RNAseq.g24646.t1;Montipora_capitata_HIv3___RNAseq.g29575.t1;Montipora_capitata_HIv3___RNAseq.g33365.t1;Montipora_capitata_HIv3___RNAseq.g11410.t1;Montipora_capitata_HIv3___RNAseq.g23082.t1;Montipora_capitata_HIv3___RNAseq.g5394.t1;Montipora_capitata_HIv3___RNAseq.g35580.t1;Montipora_capitata_HIv3___RNAseq.27502_t,leachate,up
leachate_up,172,11.788896504455106,cell differentiation,GO:0001570;GO:0001708;GO:0001709;GO:0001711;GO:0001714;GO:0001751;GO:0001752;GO:0001754;GO:0001755;GO:0001764;GO:0001826;GO:0001827;GO:0001828;GO:0002064;GO:0002065;GO:0002066;GO:0002244;GO:0002320;GO:0002328;GO:0002521;GO:0002761;GO:0003253;GO:0003357;GO:0007281;GO:0007286;GO:0007293;GO:0007294;GO:0007297;GO:0007298;GO:0007308;GO:0007309;GO:0007310;GO:0007312;GO:0007405;GO:0007409;GO:0007411;GO:0007460;GO:0007520;GO:0008038;GO:0008103;GO:0009913;GO:0009957;GO:0009994;GO:0010001;GO:0010720;GO:0010721;GO:0010830;GO:0010975;GO:0014009;GO:0014013;GO:0014014;GO:0014031;GO:0014032;GO:0014033;GO:0014902;GO:0016198;GO:0016199;GO:0016325;GO:0021515;GO:0021522;GO:0021782;GO:0021953;GO:0022008;GO:0030097;GO:0030098;GO:0030099;GO:0030182;GO:0030216;GO:0030217;GO:0030218;GO:0030239;GO:0030706;GO:0030707;GO:0030716;GO:0030720;GO:0030727;GO:0030855;GO:0030856;GO:0030858;GO:0031175;GO:0033077;GO:0035051;GO:0035315;GO:0035886;GO:0035987;GO:0042063;GO:0042692;GO:0042706;GO:0043704;GO:0045165;GO:0045214;GO:0045464;GO:0045465;GO:0045595;GO:0045596;GO:0045597;GO:0045601;GO:0045603;GO:0045637;GO:0045661;GO:0045663;GO:0045664;GO:0045667;GO:0045670;GO:0046530;GO:0046552;GO:0046668;GO:0046669;GO:0046671;GO:0046673;GO:0048134;GO:0048135;GO:0048136;GO:0048468;GO:0048469;GO:0048477;GO:0048515;GO:0048599;GO:0048663;GO:0048665;GO:0048666;GO:0048667;GO:0048699;GO:0048742;GO:0048762;GO:0048812;GO:0048814;GO:0048821;GO:0048863;GO:0048864;GO:0050767;GO:0050768;GO:0050773;GO:0051145;GO:0051146;GO:0051147;GO:0051153;GO:0051663;GO:0055001;GO:0055002;GO:0055006;GO:0055007;GO:0055012;GO:0055013;GO:0055015;GO:0060126;GO:0060127;GO:0060251;GO:0060253;GO:0060281;GO:0060282;GO:0060284;GO:0060563;GO:0060644;GO:0060795;GO:0061307;GO:0061308;GO:0061309;GO:0061515;GO:0061564;GO:0097485;GO:1900193;GO:1900195;GO:1902105;GO:1903429;GO:1903431;GO:1903538;GO:1903706;GO:1904146;GO:1905879;GO:1905881; GO:0030154,172,16,Montipora_capitata_HIv3___RNAseq.g24646.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g33365.t1;Montipora_capitata_HIv3___RNAseq.g17086.t1;Montipora_capitata_HIv3___RNAseq.g41261.t1;Montipora_capitata_HIv3___RNAseq.g15754.t1;Montipora_capitata_HIv3___RNAseq.g11828.t1;Montipora_capitata_HIv3___RNAseq.g7741.t1;Montipora_capitata_HIv3___RNAseq.g527.t1b;Montipora_capitata_HIv3___RNAseq.g26803.t1;Montipora_capitata_HIv3___RNAseq.g29575.t1;Montipora_capitata_HIv3___TS.g15697.t1;Montipora_capitata_HIv3___RNAseq.g35580.t1;Montipora_capitata_HIv3___RNAseq.27502_t;Montipora_capitata_HIv3___TS.g24480.t2;Montipora_capitata_HIv3___RNAseq.g37643.t1,leachate,up
leachate_up,17,1.1651816312542838,protein catabolic process,GO:0006511;GO:0010498;GO:0019941;GO:0031145;GO:0032434;GO:0032436;GO:0042176;GO:0043161;GO:0045732;GO:0051603;GO:0061136;GO:1901800;GO:1903050;GO:1903052;GO:2000058;GO:2000060; GO:0030163,17,7,Montipora_capitata_HIv3___RNAseq.g40764.t1;Montipora_capitata_HIv3___RNAseq.27502_t;Montipora_capitata_HIv3___RNAseq.g47569.t1;Montipora_capitata_HIv3___RNAseq.g39262.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g7364.t1;Montipora_capitata_HIv3___RNAseq.g33365.t1,leachate,up
leachate_up,2,0.13708019191226867,extracellular matrix organization,GO:0071711; GO:0030198,2,1,Montipora_capitata_HIv3___RNAseq.g29575.t1,leachate,up
leachate_up,3,0.20562028786840303,regulatory ncRNA-mediated gene silencing,GO:0060966;GO:1900368;GO:1900370,3,1,Montipora_capitata_HIv3___RNAseq.g5394.t1,leachate,up
leachate_up,0,0,telomere organization,,0,0,,leachate,up
leachate_up,22,1.5078821110349554,cell junction organization,GO:0007043;GO:0007528;GO:0008582;GO:0034329;GO:0042062;GO:0043297;GO:0045216;GO:0045886;GO:0048790;GO:0050807;GO:0050808;GO:0051963;GO:0051964;GO:0070830;GO:0090128;GO:0090129;GO:0099558;GO:1904396;GO:1904397;GO:1905809;GO:1990709; GO:0034330,22,6,Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g23082.t1;Montipora_capitata_HIv3___RNAseq.g40764.t1;Montipora_capitata_HIv3___RNAseq.g41261.t1;Montipora_capitata_HIv3___RNAseq.g29575.t1;Montipora_capitata_HIv3___RNAseq.27502_t,leachate,up
leachate_up,1,0.06854009595613433,wound healing,GO:0042060,1,1,Montipora_capitata_HIv3___RNAseq.g527.t1b,leachate,up
leachate_up,9,0.6168608636052091,ribosome biogenesis,GO:0000054;GO:0000154;GO:0000462;GO:0006364;GO:0030490;GO:0031167;GO:0042274;GO:0070475; GO:0042254,9,2,Montipora_capitata_HIv3___RNAseq.g26744.t1;Montipora_capitata_HIv3___RNAseq.g41393.t1,leachate,up
