gene_id,prawnchip_high_log2FC,prawnchip_high_padj,prawnchip_mid_log2FC,prawnchip_mid_padj,prawnchip_low_log2FC,prawnchip_low_padj,earlygastrula_high_log2FC,earlygastrula_high_padj,earlygastrula_mid_log2FC,earlygastrula_mid_padj,earlygastrula_low_log2FC,earlygastrula_low_padj,any_sig
Montipora_capitata_HIv3___RNAseq.g15050.t1,0.644931236632744,0.999630871232434,-4.91386176504784,0.493841621114305,1.2897878189291,0.999711873053144,1.44702677979771,0.999716166802354,-5.80547050379946,0.0554462348811372,1.78388390415792,0.875980636657117,FALSE
Montipora_capitata_HIv3___RNAseq.g15087.t1,2.02278040325141,0.999630871232434,-4.84272045125164,0.288893919977558,5.18288623190411,0.491751830423894,2.41809593051764,0.999716166802354,-5.49454559187484,0.0413094363065833,4.86397889478145,0.516387731199866,TRUE
Montipora_capitata_HIv3___TS.g45793.t1b,-0.267825362593948,0.999630871232434,-0.310009636419206,0.999993233033595,6.48755602558424,1.73550723742947e-4,-0.218709942161865,0.999716166802354,0.0590947178066626,0.999658842213003,6.42693857559738,2.19549852704274e-4,TRUE
Montipora_capitata_HIv3___RNAseq.g45264.t1,1.98846004773356,0.999630871232434,-2.97196680407764,0.999993233033595,3.25088588631518,0.999711873053144,2.794550641622,0.999716166802354,-3.64032885707911,0.69385814081822506,2.98356623345382,0.805003268616131,FALSE
Montipora_capitata_HIv3___RNAseq.g20279.t1,-5.70029895996747,0.0562295197980337,-7.48618338983729,4.44560503652901e-5,-4.58371479982821,0.289272622341672,-5.80452098549512,0.0356003383088552,-7.48011676387809,3.14564510366099e-5,-4.83804798251083,0.15441347585984,TRUE
Montipora_capitata_HIv3___RNAseq.g20824.t1a,1.56206686055297,0.999630871232434,-0.30064401275902,0.999993233033595,4.29277724902314,0.0135253392850572,1.31802044088994,0.999716166802354,-0.677673034102446,0.999658842213003,3.95372112313599,0.0426265773643162,TRUE
Montipora_capitata_HIv3___RNAseq.g21373.t1,4.23540687949206,0.0562295197980337,0.11915294604511,0.999993233033595,-0.408310413571845,0.999711873053144,4.29046224980601,0.0356003383088552,0.650914182158652,NA,-0.112902577376618,0.982503955946129,TRUE
Montipora_capitata_HIv3___RNAseq.g21376.t1,3.58139480149702,0.406870985137373,-0.211530784747781,0.999993233033595,2.75997523154388,0.633590887136177,3.29029428293242,0.504985358384015,-0.206307472898314,NA,2.26741074147086,0.711565318528039,FALSE
Montipora_capitata_HIv3___RNAseq.g28195.t1,1.12235997309631,0.999630871232434,-0.591399568938862,0.999993233033595,-0.684473797067116,0.999711873053144,1.86062742032726,0.695128555487901,-0.793093709461848,NA,-0.862504459252025,0.821982328803257,FALSE
Montipora_capitata_HIv3___RNAseq.g30158.t1,-0.441154341821366,0.999630871232434,-3.11816406536911,0.32837912745843,0.492655058739446,0.999711873053144,0.189521632298728,0.999716166802354,-3.10877008756647,0.125107699332591,0.745977834283122,0.909753094886088,FALSE
