Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
456M4_R1_001	456M4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18146994.0	2.5 Gbp	0.0	15-140	47.0	57.14987451461994	137.90559042450778	140	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
456M4_R2_001	456M4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18146994.0	2.5 Gbp	0.0	15-140	47.0	58.47244289913513	137.92180214530296	140	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
456M9_R1_001	456M9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16494669.0	2.2 Gbp	0.0	15-140	43.0	46.33489590225764	136.64400231371724	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
456M9_R2_001	456M9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16494669.0	2.2 Gbp	0.0	15-140	43.0	47.73741278852896	136.66139720657625	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
45C14_R1_001	45C14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18108014.0	2.5 Gbp	0.0	15-140	41.0	20.44668691461483	138.15915953013953	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
45C14_R2_001	45C14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18108014.0	2.5 Gbp	0.0	15-140	41.0	21.19060565366689	138.15900827114447	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
45C9_R1_001	45C9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16814396.0	2.3 Gbp	0.0	15-140	42.0	45.59851848106915	137.55608884196613	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
45C9_R2_001	45C9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16814396.0	2.3 Gbp	0.0	15-140	42.0	47.04638837333551	137.57082579713241	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
45H14_R1_001	45H14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17734804.0	2.4 Gbp	0.0	15-140	40.0	39.54334246479371	137.9418247306257	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
45H14_R2_001	45H14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17734804.0	2.4 Gbp	0.0	15-140	40.0	40.44155330613744	137.95263065777326	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
67C9_R1_001	67C9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20620179.0	2.8 Gbp	0.0	15-140	46.0	42.07645678728433	138.0025395511843	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
67C9_R2_001	67C9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20620179.0	2.8 Gbp	0.0	15-140	46.0	43.152597532514335	138.00511537751441	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
6C14_R1_001	6C14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18440902.0	2.5 Gbp	0.0	15-140	45.0	57.31721743767325	137.8989085783331	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
6C14_R2_001	6C14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18440902.0	2.5 Gbp	0.0	15-140	45.0	58.26199507762119	137.91243877333116	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
789C4_R1_001	789C4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17325868.0	2.3 Gbp	0.0	15-140	25.0	19.586274791756896	135.35958775629595	140	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
789C4_R2_001	789C4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17325868.0	2.3 Gbp	0.0	15-140	25.0	20.704974919300412	135.37433420363124	140	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	warn
789H14_R1_001	789H14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17443692.0	2.3 Gbp	0.0	15-140	44.0	49.022463534289955	137.02291624961046	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
789H14_R2_001	789H14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17443692.0	2.3 Gbp	0.0	15-140	44.0	50.05655454684303	137.0249112974478	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
789H4_R1_001	789H4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18591051.0	2.5 Gbp	0.0	15-140	45.0	38.70656161967095	138.5708841312952	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
789H4_R2_001	789H4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18591051.0	2.5 Gbp	0.0	15-140	45.0	39.90601609686054	138.57282673260377	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
789H9_R1_001	789H9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17815611.0	2.4 Gbp	0.0	15-140	45.0	55.627124120999596	138.42632110680907	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
789H9_R2_001	789H9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17815611.0	2.4 Gbp	0.0	15-140	45.0	57.234284226272216	138.4391727569714	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
789L14_R1_001	789L14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17671465.0	2.4 Gbp	0.0	15-140	43.0	55.73822369612391	136.18984707832655	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
789L14_R2_001	789L14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17671465.0	2.4 Gbp	0.0	15-140	43.0	57.10881706876755	136.21040819196372	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
789L4_R1_001	789L4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18055666.0	2.4 Gbp	0.0	15-140	49.0	48.67568206656125	138.22450520518046	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
789L4_R2_001	789L4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18055666.0	2.4 Gbp	0.0	15-140	49.0	49.871197910077704	138.22583614473152	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
789L9_R1_001	789L9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17690669.0	2.4 Gbp	0.0	15-140	44.0	41.91520197235355	138.47322738331715	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
789L9_R2_001	789L9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17690669.0	2.4 Gbp	0.0	15-140	44.0	43.215950034735414	138.47338187153917	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
789M14_R1_001	789M14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20110920.0	2.7 Gbp	0.0	15-140	44.0	45.630305581522315	138.05816879585817	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
789M14_R2_001	789M14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20110920.0	2.7 Gbp	0.0	15-140	44.0	46.6559765947129	138.060599664262	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
789M4_R1_001	789M4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18737472.0	2.5 Gbp	0.0	15-140	44.0	38.062595968233396	138.3496625905565	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
789M4_R2_001	789M4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18737472.0	2.5 Gbp	0.0	15-140	44.0	39.09741312407564	138.35141506815862	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
7C14_R1_001	7C14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17763474.0	2.4 Gbp	0.0	15-140	43.0	46.01252599979217	137.87742769235342	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
7C14_R2_001	7C14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17763474.0	2.4 Gbp	0.0	15-140	43.0	47.34027578139507	137.88978512874226	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
89C14_R1_001	89C14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20949425.0	2.9 Gbp	0.0	15-140	43.0	44.626558894456245	138.68293654837782	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
89C14_R2_001	89C14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20949425.0	2.9 Gbp	0.0	15-140	43.0	46.008796886228495	138.68514066615194	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
89C9_R1_001	89C9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17897065.0	2.4 Gbp	0.0	15-140	43.0	47.5340397833891	137.75845408171676	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
89C9_R2_001	89C9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17897065.0	2.4 Gbp	0.0	15-140	43.0	48.57917991645467	137.7704223569619	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
89M9_R1_001	89M9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17809172.0	2.4 Gbp	0.0	15-140	46.0	52.80838942132612	137.11307622836142	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
89M9_R2_001	89M9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17809172.0	2.4 Gbp	0.0	15-140	46.0	54.160335999389986	137.12808332695084	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
